2013-1497,NA
2006-6947,CWE-310
2012-0463,CWE-17
2013-3762,NA
2007-0506,CWE-264
2007-5807,CWE-119
2005-3855,CWE-89
2008-4673,CWE-94
2016-1882,CWE-20
2013-3985,CWE-310
2007-4676,CWE-119
2015-1561,CWE-77
2006-0407,CWE-16
2007-5702,CWE-79
2006-1750,CWE-79
2008-4473,CWE-119
2002-2134,CWE-94
2009-1500,CWE-89
2007-1842,CWE-22
2002-0698,CWE-134
2012-4950,CWE-79
2008-4416,CWE-17
2012-1236,CWE-352
2000-0931,CWE-134
2014-7631,CWE-310
2004-1321,CWE-200
2011-1902,CWE-22
2008-0813,CWE-22
2005-3205,CWE-79
2011-3281,CWE-20
2012-3209,NA
2008-3166,CWE-94
2008-4381,CWE-20
2014-5077,CWE-20
2004-2187,CWE-255
2009-1974,NA
2006-3795,CWE-79
2005-2251,CWE-94
2014-7405,CWE-310
2008-6462,CWE-89
2012-6143,CWE-77
2008-2809,CWE-310
2007-4946,NA
2013-2902,CWE-17
2000-1219,CWE-17
2012-5458,CWE-17
2003-1052,CWE-264
2007-3192,CWE-200
2010-3977,CWE-79
2007-5537,CWE-20
2014-2604,CWE-255
2007-6384,CWE-17
2013-4019,CWE-79
2015-5127,CWE-119
2004-0914,NA
2008-4017,NA
2007-4090,CWE-79
2015-3935,CWE-79
2003-0489,CWE-17
2011-2358,CWE-79
2000-0461,CWE-20
2009-4566,NA
2013-6727,CWE-310
2004-0824,CWE-264
2010-3976,CWE-264
2009-4766,CWE-200
2006-3831,CWE-200
2011-3569,NA
2011-1185,CWE-79
1999-1130,CWE-22
2007-1088,CWE-264
2013-4142,NA
2008-1165,NA
2015-5214,CWE-119
2006-2237,CWE-287
2002-2186,CWE-200
2006-1936,CWE-134
2015-8361,CWE-255
2012-3559,CWE-255
2002-2360,CWE-94
2013-2130,CWE-399
2006-6893,CWE-16
2006-0999,CWE-310
2014-2773,CWE-119
2012-0314,CWE-352
2007-0664,CWE-264
2008-4735,CWE-94
2007-4803,CWE-119
2008-0375,CWE-287
2008-6104,CWE-89
2011-2885,CWE-399
2013-6150,NA
2006-5142,CWE-119
2013-4439,CWE-310
2006-0553,CWE-264
2012-3952,CWE-79
2011-4089,CWE-264
2005-0125,CWE-264
2000-0608,CWE-20
1999-1368,CWE-77
2007-2854,CWE-89
2014-6573,NA
2013-0368,NA
2014-3181,CWE-17
2004-0790,NA
2009-2979,CWE-119
2013-1970,NA
2010-5186,CWE-399
2014-3073,CWE-255
2014-3541,CWE-17
2014-4761,CWE-264
2015-0643,CWE-20
2013-1320,CWE-119
2003-0450,CWE-134
2012-2250,CWE-20
2004-1123,CWE-20
2006-3832,CWE-89
2001-1216,CWE-134
2016-0414,NA
2002-0610,CWE-264
2015-8510,CWE-79
2006-2162,CWE-119
2014-7880,CWE-17
2006-6374,CWE-79
2008-1890,CWE-89
2008-7136,CWE-134
