Topic,#TP,#FP,#FN,P[%],R[%],F1
CWE-352,1004,131,236,88.46%,80.97%,84.55%
CWE-89,3807,349,2188,91.60%,63.50%,75.01%
CWE-79,6135,287,4949,95.53%,55.35%,70.09%
CWE-22,1619,227,1623,87.70%,49.94%,63.64%
CWE-310,1714,507,1663,77.17%,50.76%,61.24%
CWE-119,4052,2403,4375,62.77%,48.08%,54.46%
CWE-94,853,1213,2159,41.29%,28.32%,33.60%
CWE-264,1496,2941,5429,33.72%,21.60%,26.33%
NA,4354,28625,602,13.20%,87.85%,22.96%
CWE-200,601,1921,2121,23.83%,22.08%,22.92%
CWE-20,849,2748,3981,23.60%,17.58%,20.15%
CWE-399,306,2328,1286,11.62%,19.22%,14.48%
CWE-287,149,829,1693,15.24%,8.09%,10.57%
CWE-255,214,392,3686,35.31%,5.49%,9.50%
CWE-134,109,54,2807,66.87%,3.74%,7.08%
CWE-17,58,102,6228,36.25%,0.92%,1.80%
CWE-77,11,47,1642,18.97%,0.67%,1.29%
CWE-16,10,283,1441,3.41%,0.69%,1.15%
