CR,CM,time
http://sealytics.github.io/ontologies/release-model#Bug-6639c6b0-fb6d-4292-81d9-3c530b675bf1,"I think the JMX has been fixed on trunk. Can you try with 5.7 when its released. Or the 5.7-SNAPSHOT.
",1323777355893
http://sealytics.github.io/ontologies/release-model#Bug-6639c6b0-fb6d-4292-81d9-3c530b675bf1,"Are we sure this is fixed? I just reproduced on activemq 5.7.0 with karaf 2.3.0:



java.io.IOException: java.lang.RuntimeException: java.io.IOException: Failed to retrieve RMIServer stub: javax.naming.CommunicationException [Root exception is java.rmi.UnmarshalException: error unmarshalling return; nested exception is: 
	java.lang.ClassNotFoundException: javax.management.remote.rmi.RMIServerImpl_Stub (no security manager: RMI class loader disabled)]
	at org.apache.activemq.web.filter.ApplicationContextFilter.doFilter(ApplicationContextFilter.java:92)[117:org.apache.activemq.activemq-web-console:5.7.0]
	at org.eclipse.jetty.servlet.ServletHandler$CachedChain.doFilter(ServletHandler.java:1300)[78:org.eclipse.jetty.servlet:7.6.7.v20120910]
	at com.opensymphony.sitemesh.webapp.SiteMeshFilter.obtainContent(SiteMeshFilter.java:129)[117:org.apache.activemq.activemq-web-console:5.7.0]
	at com.opensymphony.sitemesh.webapp.SiteMeshFilter.doFilter(SiteMeshFilter.java:77)[117:org.apache.activemq.activemq-web-console:5.7.0]
	at org.eclipse.jetty.servlet.ServletHandler$CachedChain.doFilter(ServletHandler.java:1300)[78:org.eclipse.jetty.servlet:7.6.7.v20120910]
	at org.ops4j.pax.web.service.internal.WelcomeFilesFilter.doFilter(WelcomeFilesFilter.java:193)[87:org.ops4j.pax.web.pax-web-runtime:1.1.3]
	at org.eclipse.jetty.servlet.ServletHandler$CachedChain.doFilter(ServletHandler.java:1300)[78:org.eclipse.jetty.servlet:7.6.7.v20120910]
	at org.eclipse.jetty.servlet.ServletHandler.doHandle(ServletHandler.java:445)[78:org.eclipse.jetty.servlet:7.6.7.v20120910]
	at org.ops4j.pax.web.service.jetty.internal.HttpServiceServletHandler.doHandle(HttpServiceServletHandler.java:70)[88:org.ops4j.pax.web.pax-web-jetty:1.1.3]
	at org.eclipse.jetty.server.handler.ScopedHandler.handle(ScopedHandler.java:137)[76:org.eclipse.jetty.server:7.6.7.v20120910]
	at org.eclipse.jetty.security.SecurityHandler.handle(SecurityHandler.java:559)[77:org.eclipse.jetty.security:7.6.7.v20120910]
	at org.eclipse.jetty.server.session.SessionHandler.doHandle(SessionHandler.java:227)[76:org.eclipse.jetty.server:7.6.7.v20120910]
	at org.eclipse.jetty.server.handler.ContextHandler.doHandle(ContextHandler.java:1038)[76:org.eclipse.jetty.server:7.6.7.v20120910]
	at org.ops4j.pax.web.service.jetty.internal.HttpServiceContext.doHandle(HttpServiceContext.java:117)[88:org.ops4j.pax.web.pax-web-jetty:1.1.3]
	at org.eclipse.jetty.servlet.ServletHandler.doScope(ServletHandler.java:374)[78:org.eclipse.jetty.servlet:7.6.7.v20120910]
	at org.eclipse.jetty.server.session.SessionHandler.doScope(SessionHandler.java:189)[76:org.eclipse.jetty.server:7.6.7.v20120910]
	at org.eclipse.jetty.server.handler.ContextHandler.doScope(ContextHandler.java:972)[76:org.eclipse.jetty.server:7.6.7.v20120910]
	at org.eclipse.jetty.server.handler.ScopedHandler.handle(ScopedHandler.java:135)[76:org.eclipse.jetty.server:7.6.7.v20120910]
	at org.ops4j.pax.web.service.jetty.internal.JettyServerHandlerCollection.handle(JettyServerHandlerCollection.java:74)[88:org.ops4j.pax.web.pax-web-jetty:1.1.3]
	at org.eclipse.jetty.server.handler.HandlerWrapper.handle(HandlerWrapper.java:116)[76:org.eclipse.jetty.server:7.6.7.v20120910]
	at org.eclipse.jetty.server.Server.handle(Server.java:359)[76:org.eclipse.jetty.server:7.6.7.v20120910]
	at org.eclipse.jetty.server.AbstractHttpConnection.handleRequest(AbstractHttpConnection.java:483)[76:org.eclipse.jetty.server:7.6.7.v20120910]
	at org.eclipse.jetty.server.BlockingHttpConnection.handleRequest(BlockingHttpConnection.java:53)[76:org.eclipse.jetty.server:7.6.7.v20120910]
	at org.eclipse.jetty.server.AbstractHttpConnection.headerComplete(AbstractHttpConnection.java:920)[76:org.eclipse.jetty.server:7.6.7.v20120910]
	at org.eclipse.jetty.server.AbstractHttpConnection$RequestHandler.headerComplete(AbstractHttpConnection.java:982)[76:org.eclipse.jetty.server:7.6.7.v20120910]
	at org.eclipse.jetty.http.HttpParser.parseNext(HttpParser.java:635)[72:org.eclipse.jetty.http:7.6.7.v20120910]
	at org.eclipse.jetty.http.HttpParser.parseAvailable(HttpParser.java:235)[72:org.eclipse.jetty.http:7.6.7.v20120910]
	at org.eclipse.jetty.server.BlockingHttpConnection.handle(BlockingHttpConnection.java:72)[76:org.eclipse.jetty.server:7.6.7.v20120910]
	at org.eclipse.jetty.server.nio.BlockingChannelConnector$BlockingChannelEndPoint.run(BlockingChannelConnector.java:298)[76:org.eclipse.jetty.server:7.6.7.v20120910]
	at org.eclipse.jetty.util.thread.QueuedThreadPool.runJob(QueuedThreadPool.java:608)[70:org.eclipse.jetty.util:7.6.7.v20120910]
	at org.eclipse.jetty.util.thread.QueuedThreadPool$3.run(QueuedThreadPool.java:543)[70:org.eclipse.jetty.util:7.6.7.v20120910]
	at java.lang.Thread.run(Unknown Source)[:1.7.0_05]
Caused by: java.lang.RuntimeException: java.io.IOException: Failed to retrieve RMIServer stub: javax.naming.CommunicationException [Root exception is java.rmi.UnmarshalException: error unmarshalling return; nested exception is: 
	java.lang.ClassNotFoundException: javax.management.remote.rmi.RMIServerImpl_Stub (no security manager: RMI class loader disabled)]
	at org.apache.activemq.web.RemoteJMXBrokerFacade.createConnection(RemoteJMXBrokerFacade.java:165)[117:org.apache.activemq.activemq-web-console:5.7.0]
	at org.apache.activemq.web.RemoteJMXBrokerFacade.getMBeanServerConnection(RemoteJMXBrokerFacade.java:114)[117:org.apache.activemq.activemq-web-console:5.7.0]
	at org.apache.activemq.web.RemoteJMXBrokerFacade.getBrokerAdmin(RemoteJMXBrokerFacade.java:88)[117:org.apache.activemq.activemq-web-console:5.7.0]
	at org.apache.activemq.web.BrokerFacadeSupport.isSlave(BrokerFacadeSupport.java:231)[117:org.apache.activemq.activemq-web-console:5.7.0]
	at org.apache.activemq.web.filter.ApplicationContextFilter.doFilter(ApplicationContextFilter.java:86)[117:org.apache.activemq.activemq-web-console:5.7.0]
	... 31 more
Caused by: java.io.IOException: Failed to retrieve RMIServer stub: javax.naming.CommunicationException [Root exception is java.rmi.UnmarshalException: error unmarshalling return; nested exception is: 
	java.lang.ClassNotFoundException: javax.management.remote.rmi.RMIServerImpl_Stub (no security manager: RMI class loader disabled)]
	at javax.management.remote.rmi.RMIConnector.connect(Unknown Source)[:1.7.0_05]
	at javax.management.remote.JMXConnectorFactory.connect(Unknown Source)[:1.7.0_05]
	at org.apache.activemq.web.RemoteJMXBrokerFacade.createConnection(RemoteJMXBrokerFacade.java:146)[117:org.apache.activemq.activemq-web-console:5.7.0]
	... 35 more
Caused by: javax.naming.CommunicationException [Root exception is java.rmi.UnmarshalException: error unmarshalling return; nested exception is: 
	java.lang.ClassNotFoundException: javax.management.remote.rmi.RMIServerImpl_Stub (no security manager: RMI class loader disabled)]
	at com.sun.jndi.rmi.registry.RegistryContext.lookup(Unknown Source)[:1.7.0_05]
	at com.sun.jndi.toolkit.url.GenericURLContext.lookup(Unknown Source)[:1.7.0_05]
	at javax.naming.InitialContext.lookup(Unknown Source)[:1.7.0_05]
	at javax.management.remote.rmi.RMIConnector.findRMIServerJNDI(Unknown Source)[:1.7.0_05]
	at javax.management.remote.rmi.RMIConnector.findRMIServer(Unknown Source)[:1.7.0_05]
	... 38 more
Caused by: java.rmi.UnmarshalException: error unmarshalling return; nested exception is: 
	java.lang.ClassNotFoundException: javax.management.remote.rmi.RMIServerImpl_Stub (no security manager: RMI class loader disabled)
	at sun.rmi.registry.RegistryImpl_Stub.lookup(Unknown Source)[:1.7.0_05]
	... 43 more
Caused by: java.lang.ClassNotFoundException: javax.management.remote.rmi.RMIServerImpl_Stub (no security manager: RMI class loader disabled)
	at sun.rmi.server.LoaderHandler.loadClass(Unknown Source)[:1.7.0_05]
	at sun.rmi.server.LoaderHandler.loadClass(Unknown Source)[:1.7.0_05]
	at java.rmi.server.RMIClassLoader$2.loadClass(Unknown Source)[:1.7.0_05]
	at java.rmi.server.RMIClassLoader.loadClass(Unknown Source)[:1.7.0_05]
	at sun.rmi.server.MarshalInputStream.resolveClass(Unknown Source)[:1.7.0_05]
	at java.io.ObjectInputStream.readNonProxyDesc(Unknown Source)[:1.7.0_05]
	at java.io.ObjectInputStream.read",1323777355893
http://sealytics.github.io/ontologies/release-model#Bug-6639c6b0-fb6d-4292-81d9-3c530b675bf1,One additional thing to note - it works fine with equinox 3.6 but fails with equinox 3.8.,1323777355893
http://sealytics.github.io/ontologies/release-model#Bug-04c0b4af-9bfb-4e10-b2ab-815291e5e8e8,Is this script a modified version that is Talend specific?  ,1403611289969
http://sealytics.github.io/ontologies/release-model#Bug-04c0b4af-9bfb-4e10-b2ab-815291e5e8e8,"No, i used the pure Apache ActiveMQ: apache-activemq-5.10.0, i updated the description, thanks.",1403611289969
http://sealytics.github.io/ontologies/release-model#Bug-d4165a90-4192-4e9a-8ebc-ea62609743bc,Ah yeah sounds like that DEBUG options should only be used if you start the broker.,1285041731917
http://sealytics.github.io/ontologies/release-model#Bug-403327c3-d6a3-4854-bd40-c2eb8029b41e,Patch applied,1392831489506
http://sealytics.github.io/ontologies/release-model#Bug-403327c3-d6a3-4854-bd40-c2eb8029b41e,"Patch for duplicate subscriptions, apply after patch for AMQ-5065",1392831489506
http://sealytics.github.io/ontologies/release-model#Bug-757cc940-4713-47ae-b1b0-1b88e880ccea,Fixed on trunk.  ,1404993961795
http://sealytics.github.io/ontologies/release-model#Bug-757cc940-4713-47ae-b1b0-1b88e880ccea,"Can you create a JUnit test that shows the problem, and create a patch that resolves it?",1404993961795
