CR,CM,time
http://sealytics.github.io/ontologies/release-model#Bug-73288f8d-6a8c-48d9-968c-e3b15c45cc4e,"applied Stephan&apos;s patch.
",1398250556796
http://sealytics.github.io/ontologies/release-model#Bug-19c1cf5a-e5f6-4fdb-9b67-2146619b11d5,Thanks for reporting,1380695706295
http://sealytics.github.io/ontologies/release-model#Bug-c789b4a1-3358-4df7-b1ef-606b18256e4e,"Ah okay yeah I can see the issue.

Will introduce a {{routeId}} in the DSL to use specific for setting the id of the route.",1256552485977
http://sealytics.github.io/ontologies/release-model#Bug-c789b4a1-3358-4df7-b1ef-606b18256e4e,And you want the id {{fileMapping}} to be the route id?,1256552485977
http://sealytics.github.io/ontologies/release-model#Bug-c789b4a1-3358-4df7-b1ef-606b18256e4e,"Moving the id after the from makes the route have that id

{code}
from(&quot;jms:fileIn?transacted=true&quot;)
.id(&quot;fileMapping&quot;)
...
{code}",1256552485977
http://sealytics.github.io/ontologies/release-model#Bug-c789b4a1-3358-4df7-b1ef-606b18256e4e,Found out related things in CAMEL-7786,1256552485977
http://sealytics.github.io/ontologies/release-model#Bug-c789b4a1-3358-4df7-b1ef-606b18256e4e,"Hi with the latest code use the new {{routeId}} in the DSL to set the id of the route.

trunk: 830906.",1256552485977
http://sealytics.github.io/ontologies/release-model#Bug-c789b4a1-3358-4df7-b1ef-606b18256e4e,"Works fine on my end. Can you check this unit test.
http://svn.apache.org/viewvc?rev=829770&amp;view=rev

",1256552485977
http://sealytics.github.io/ontologies/release-model#Bug-c789b4a1-3358-4df7-b1ef-606b18256e4e,"The testcase did work fine at my system, but when i change the RouteBuilder to:
{code}

    @Override
    protected RouteBuilder createRouteBuilder() throws Exception {
        return new RouteBuilder() {
            @Override
            public void configure() throws Exception {
            	
            	onException(IllegalArgumentException.class).handled(true).to(&quot;log:bar&quot;).to(&quot;mock:error&quot;).end();
            	 
                from(&quot;activemq:queue:foo?transacted=true&quot;).id(&quot;myCoolRoute&quot;)
                    .transacted()
                    .choice()
                        .when(body().contains(&quot;Kabom&quot;)).throwException(new IllegalArgumentException(&quot;Damn&quot;))
                    .otherwise()
                        .to(&quot;mock:result&quot;)
                    .end();

            }
        };
    }
{code}

then the test fails ....

-- added code snippets",1256552485977
http://sealytics.github.io/ontologies/release-model#Bug-c789b4a1-3358-4df7-b1ef-606b18256e4e,"But putting .id() before onException makes onException not working correctly
( see the same nabble-Thread )",1256552485977
http://sealytics.github.io/ontologies/release-model#Bug-c789b4a1-3358-4df7-b1ef-606b18256e4e,Closing old resolved issues,1256552485977
http://sealytics.github.io/ontologies/release-model#Bug-c789b4a1-3358-4df7-b1ef-606b18256e4e,"See nabble:
http://www.nabble.com/RouteBuilder%3A-Problems-with-onException-and-id-td26024958.html",1256552485977
http://sealytics.github.io/ontologies/release-model#Bug-e346e8c6-3c7a-4b44-8984-22ef482efd49,afaik camel uses slf4j which will not call toString unless it is neccessary: http://www.slf4j.org/faq.html#logging_performance,1397669068739
http://sealytics.github.io/ontologies/release-model#Bug-e346e8c6-3c7a-4b44-8984-22ef482efd49,A screenshot of the JProfile session during which we found the issue. We were receiving 100000 events and the onMessage method was invoked 100000 times.,1397669068739
http://sealytics.github.io/ontologies/release-model#Bug-e346e8c6-3c7a-4b44-8984-22ef482efd49,"David, that turned out to be true. However I spent tons of time debugging and profiling without noticing that Camel was using the wrong log4j configuration.

I am closing the defect and heading to to find a proper combination of a rock and a hard place.

I apologize for the false alarm.",1397669068739
http://sealytics.github.io/ontologies/release-model#Bug-e346e8c6-3c7a-4b44-8984-22ef482efd49,"The logger works as expected and indeed checks the log level before calling toString() of the arguments. The problem in my case was that I thought I had set up the correct log level in the correct log4j configuration file, but I had not used the wrong file.

Again - deeply sorry.",1397669068739
http://sealytics.github.io/ontologies/release-model#Bug-bb1fa580-d365-45f4-8254-48bfb868d29e,"Applied patch into camel master, camel-2.13.x and camel-2.12.x with thanks to Andreas. ",1396991584637
http://sealytics.github.io/ontologies/release-model#Bug-71b2cad4-4ac5-430f-8b78-4c6f849fe30c,Now camel can check the NPE if the JMSXUserID is not set in the JMS message.,1400589392017
http://sealytics.github.io/ontologies/release-model#Bug-72199355-2069-4b24-833b-a8b928f2e088,Thanks for the detailed report. This bug is also in the regular file component.,1383662866812
http://sealytics.github.io/ontologies/release-model#Bug-72199355-2069-4b24-833b-a8b928f2e088,"In order to solve this, might I suggest removing the idempotent options entirely, and instead implementing an Idempotent GenericFileFilter which can then be injected into the ftp component. This is the approach I used to get around the bug in my implementation and it is working well for me.",1383662866812
http://sealytics.github.io/ontologies/release-model#Bug-0e55889e-7489-45c1-a3e6-a8b28ce8a892,"Applied the patch into master, camel-2.12.x and camel-2.11.x branches.",1383571335302
http://sealytics.github.io/ontologies/release-model#Bug-0e55889e-7489-45c1-a3e6-a8b28ce8a892,"Hi Dai,

Can you submit the patch file to this JIRA?
We can have some legal issue if we just merge the patch from github pull request.

BTW, the patch looks good.

Willem",1383571335302
http://sealytics.github.io/ontologies/release-model#Bug-18537692-acf9-44a0-9ab0-667d1ceec482,"Applied the patch into master, camel-2.12.x and camel-2.11.x branches with thanks to Amit.
I also added an unit test to verify the patch.",1383312931257
http://sealytics.github.io/ontologies/release-model#Bug-c35a8ae7-73c2-4e53-a9ae-8d3521d71636,Thanks for reporting and providing test cases.,1393977619900
http://sealytics.github.io/ontologies/release-model#Bug-ea64fa70-abda-4df4-b3e4-9313272c903b,"This is still a problem.

In Java 7 the Scanner class now implements Closeable so the fix for 5767 does not work as the Splitter code handling the IOException never gets executed.

Furthermore there is an additional problem when using tokenize with grouping e.g.: from(&quot;file:inbox&quot;).split().tokenize(&quot;\n&quot;, 1000).streaming().to(&quot;activemq:queue:order&quot;);

In this case the Scanner object is wrapped in a GroupIterator and the code in the Splitter to handle the case of when the Scanner exited with an exception does not get executed because GroupIterator implements Closeable (and is not an instance of Scanner either). I.e. in both cases only the first case of the IF statement on line 149 of the Splitter class will be executed and this leads to no exception being thrown and incorrect behaviour whereby the incorrect number of split messages gets processed and the route exits with no errors.",1388153673666
http://sealytics.github.io/ontologies/release-model#Bug-ea64fa70-abda-4df4-b3e4-9313272c903b,"Applied the patch into master, camel-2.12.x and camel-2.11.x.",1388153673666
http://sealytics.github.io/ontologies/release-model#Bug-9d09dc18-035a-4a97-ae11-785ac2b9dc01,"Yes, that&apos;s because the trace processor adds the exception handling as mentioned above. It really should be in the SendProcessor too.",1383229209748
http://sealytics.github.io/ontologies/release-model#Bug-9d09dc18-035a-4a97-ae11-785ac2b9dc01,"Fix is now on master. 
Please check a nightly snapshot from here in a day or so:

https://repository.apache.org/content/repositories/snapshots/org/apache/camel/apache-camel/2.13-SNAPSHOT/",1383229209748
http://sealytics.github.io/ontologies/release-model#Bug-9d09dc18-035a-4a97-ae11-785ac2b9dc01,I wonder if we could better remove the try/catch block of {{SedaErrorTest}} for this fix as the test is a positive and not a negative one. See also CAMEL-5983.,1383229209748
http://sealytics.github.io/ontologies/release-model#Bug-9d09dc18-035a-4a97-ae11-785ac2b9dc01,"I agree. The test migrated in different iterations, and I no longer need the try/catch. Change has been committed. Thanks for the code review.",1383229209748
http://sealytics.github.io/ontologies/release-model#Bug-9d09dc18-035a-4a97-ae11-785ac2b9dc01,I just merged the patches into camel-2.12.x branch and updated the fix version.,1383229209748
http://sealytics.github.io/ontologies/release-model#Bug-9d09dc18-035a-4a97-ae11-785ac2b9dc01,"The SendProcessor doesn&apos;t catch exceptions and set them on the exchange (which is what the Redelivery bits look for). 

I&apos;m working on a patch.",1383229209748
http://sealytics.github.io/ontologies/release-model#Bug-9d09dc18-035a-4a97-ae11-785ac2b9dc01,"Hello,
The issue is marked resolved in 2.12.2 but we have the same issue in 2.12.3.
When looking at the commit, it seems the fix was not pushed on the 2.12 branch. Could you confirm ?
Thank you !
Fabien",1383229209748
http://sealytics.github.io/ontologies/release-model#Bug-9d09dc18-035a-4a97-ae11-785ac2b9dc01,FYI in my test cast the exception doesn&apos;t &quot;bubble up to the original caller&quot; unless tracing is turned on.  See CAMEL-6912.,1383229209748
http://sealytics.github.io/ontologies/release-model#Bug-9d09dc18-035a-4a97-ae11-785ac2b9dc01,"Thank you Willem, do you know when the 2.12.4 is expected to be released ?
Have a good day.
Fabien",1383229209748
http://sealytics.github.io/ontologies/release-model#Bug-ceab8b09-706c-430b-b01f-2e4adfc05524,"We cannot do Class.forName as that does not work with classloading in various containers / OSGi etc.

",1399417179555
http://sealytics.github.io/ontologies/release-model#Bug-ceab8b09-706c-430b-b01f-2e4adfc05524,"ok, but at that moment we have only the class name.",1399417179555
http://sealytics.github.io/ontologies/release-model#Bug-1632a267-d3ab-4de0-afcc-44fecad8f244,"Well, I&apos;s a bit complicated:
It should be lh.abc.de:631/bbk-test but as far as I know the Java printing SPI from Sun / Oracle doesn&apos;t support remote IPP printing, there are several Libraries which can do this [1]. It might be possible that the best solution for this bug is just throwing an exception [2] under Unix. Maybe after falling back to a local printer with the same fails. From my point of view at least the rewrite from URI to UNC shouldn&apos;t be done on Plattforms not using UNCs, since it is misleading.


[1] http://stackoverflow.com/questions/1655297/print-to-specific-printer-ipp-uri-in-java
[2] http://docs.oracle.com/javase/7/docs/api/java/lang/UnsupportedOperationException.html",1400234006421
http://sealytics.github.io/ontologies/release-model#Bug-1632a267-d3ab-4de0-afcc-44fecad8f244,"Thanks for reporting.

What should be the name of the printer exactly?
{code}
//lh.abc.de:631/bbk-test
{code}

or 
{code}
lh.abc.de:631/bbk-test
{code}

or something else?",1400234006421
