CR,CM,time
http://sealytics.github.io/ontologies/release-model#Bug-dbc45e58-6905-4f2e-a4b0-2c78f2c4275d,"That&apos;s the default behaviour of FailoverTargetSelector (not sure it&apos;s a bug or by design), but you may do some extension to match your requirement.

1) provide a MySequentialStrategy which extends SequentialStrategy
{code}
public class MySequentialStrategy extends SequentialStrategy {
    ......
    public String getPrimaryAddress(Exchange exchange) {
        ......
        return primaryUrl;
    }
    ......
}
{code}
2) provide a MyTargetSelector which extends FailoverTargetSelector
{code}
import org.apache.cxf.clustering.FailoverTargetSelector;
......
public class MyTargetSelector extends FailoverTargetSelector {

    @Override
    public synchronized void prepare(Message message) {
        setAddress(message);
        super.prepare(message);
    }

    private void setAddress(Message message) {
        String primaryUrl = strategy.getPrimaryAddress(message.getExchange());

        if (primaryUrl != null) {
            endpoint.getEndpointInfo().setAddress(primaryUrl);
            message.put(Message.ENDPOINT_ADDRESS, primaryUrl);
        }
    }
}
{code}
3) provide a MyFailoverFeature:
{code}
public class MyFailoverFeature extends AbstractFeature {
    ......
    @Override
    public void initialize(InterceptorProvider interceptorProvider, Bus bus) {
        if (interceptorProvider instanceof ConduitSelectorHolder) {
            ConduitSelectorHolder conduitSelectorHolder = (ConduitSelectorHolder)interceptorProvider;

            MyTargetSelector selector = new MyTargetSelector();
            selector.setEndpoint(conduitSelectorHolder.getConduitSelector().getEndpoint());
            selector.setStrategy(mySequentialStrategy);

            conduitSelectorHolder.setConduitSelector(selector);

        }
    }
    ......
}
{code}

then, add this MyFailoverFeature into your JaxWsProxyFactoryBean.",1400230980251
http://sealytics.github.io/ontologies/release-model#Bug-dbc45e58-6905-4f2e-a4b0-2c78f2c4275d,"&gt; I tried to provide my own interpretation of why it was not supported from the get go, we probably won&apos;t know now. Does it really matter  ?

Sure, thank you :) I have only probably different opinion on how any failover should be implemented. 

If Xilai&apos;s extension become part of trunk, I would be grateful :)

Thank you both again, for leads and opinions. 

Jan

",1400230980251
http://sealytics.github.io/ontologies/release-model#Bug-dbc45e58-6905-4f2e-a4b0-2c78f2c4275d,"Hi Sergey, 

that is a possible workaround, but it is not a clean solution. You cannot instantiate a consumer without specifying the primary URL, so you would have to duplicate the same url to the list of failover urls. That seems like bad pattern to me. 

I will have to implement some of the solutions Xilai wrote about. 

I still hope for a response if this is a bug or feature, though. ",1400230980251
http://sealytics.github.io/ontologies/release-model#Bug-dbc45e58-6905-4f2e-a4b0-2c78f2c4275d,"Hi,

I&apos;m not sure but it was probably not seen as a requirement at a time or it was assumed that if the primary URI failed then it was gone.
Perhaps the primary address can be added to the list of alternatives, IMHO it would be a very simple resolution to the issue.

Cheers, Sergey",1400230980251
http://sealytics.github.io/ontologies/release-model#Bug-dbc45e58-6905-4f2e-a4b0-2c78f2c4275d,"@Sergey: Before any changes/fixes, I tried to reproduce this problem with the codes Jan provided in the description, but failed to reproduce ----- it will return to the primary address after run out all the failover addresses. (both CXF 2.7.5 and 2.7.11 used)
@Jan: could you please provide a project/testcase which can be used to reproduce this problem? I also attached a project which I used, maybe missing something.",1400230980251
http://sealytics.github.io/ontologies/release-model#Bug-dbc45e58-6905-4f2e-a4b0-2c78f2c4275d,"Thank you, as a workaround this should work well. 

However, I would still like to know, if this is intended behavior or not. I briefly ran through the documentation and didn&apos;t find anything about it. ",1400230980251
http://sealytics.github.io/ontologies/release-model#Bug-dbc45e58-6905-4f2e-a4b0-2c78f2c4275d,"Hi,

Sure, Xilai provided a good extension - and this is what one should do, customize it,  whenever a default approach does not work.
I&apos;d have no problems with copying a primary URI to the list as opposed to writing the extension code but it is up to a user in the end of the day how to do it.

&gt; I still hope for a response if this is a bug or feature, though. 

I tried to provide my own interpretation of why it was not supported from the get go, we probably won&apos;t know now. Does it really matter :-) ?

Do you think it should become a default behaviour ? May be it should, but no one has requested it before so may be it was not a blocker for other users.
I&apos;ve no strong opinion about it, as I said I&apos;d just update the list or provided the extension as Xilai recommends. 

May be a feature should have a flag disabled (or enabled by default) that will let it iterate to the primary URI too. 
Xilai, would you like to do it, make your extension optionally enabled on the trunk ?

Cheers, Sergey

",1400230980251
http://sealytics.github.io/ontologies/release-model#Bug-e879a5a3-1453-44ca-bf74-9fd2a0c6b8b1,Possible fix,1379930285115
http://sealytics.github.io/ontologies/release-model#Bug-9819dfbb-b5fe-4cb1-b2f0-f2039477ae86,"And there is another problem related to this one. When you have two (or more) applications deployed to application server, each of them using CXFAuthenticator, and you stop one of them, the alive one will fail to proceed with authentication task because the still registered CXFAuthenticator fails to load its necessary classes because is classloader is already marked as stopped. On Tomcat this looks like this:
{code}
Nov 15, 2012 9:24:19 PM org.apache.catalina.loader.WebappClassLoader loadClass
INFO: Illegal access: this web application instance has been stopped already.  Could not load org.apache.cxf.message.MessageImpl.  The eventual following stack trace is caused by an error thrown for debugging purposes as well as to attempt to terminate the thread which caused the illegal access, and has no functional impact.
java.lang.IllegalStateException

	at org.apache.catalina.loader.WebappClassLoader.loadClass(WebappClassLoader.java:1597)
	at org.apache.catalina.loader.WebappClassLoader.loadClass(WebappClassLoader.java:1556)
	at org.apache.cxf.endpoint.ClientImpl.getConduit(ClientImpl.java:835)
	at org.apache.cxf.endpoint.ClientImpl.destroy(ClientImpl.java:206)
	at org.apache.cxf.frontend.ClientProxy.finalize(ClientProxy.java:94)
	at java.lang.ref.Finalizer.invokeFinalizeMethod(Native Method)
	at java.lang.ref.Finalizer.runFinalizer(Finalizer.java:83)
	at java.lang.ref.Finalizer.access$100(Finalizer.java:14)
	at java.lang.ref.Finalizer$FinalizerThread.run(Finalizer.java:160)
{code}
But I suppose that this problem really is unresolvable and the solution is to use Commons HTTPClient for HTTP Conduit (CXF-291)",1349074785695
http://sealytics.github.io/ontologies/release-model#Bug-9819dfbb-b5fe-4cb1-b2f0-f2039477ae86,"The ReferencingAuthenticator is not loaded from the same classloader as the rest of CXF, its now from a ClassLoader which uses the system classloader as the parent.  Thus, the &quot;leak&quot; is very minimal (single byte[] class) as it doesn&apos;t hold onto all the CXF classes.  Also, once the real authenticator (CXFAuthenticator class) is gc&apos;d, a call into the system authenticator may start a process of removing themselves (although that process looks slightly wrong.  (need to double check that).
 
In anycase, as far as we&apos;re concerned, it&apos;s &quot;fixed&quot; as well as we can.   If someone has a patch that can provide a better solution, feel free to submit it and we&apos;ll consider it.
",1349074785695
