CR,CM,time
http://sealytics.github.io/ontologies/release-model#Bug-810fa301-640b-4cfb-b788-c2340e480071,https://git-wip-us.apache.org/repos/asf?p=karaf.git;a=commitdiff;h=2154f29d6f3a4e3bdea19e4f14debac3aa8c0d41,1392968983657
http://sealytics.github.io/ontologies/release-model#Bug-810fa301-640b-4cfb-b788-c2340e480071,Fixed on karaf-3.0.x: https://git-wip-us.apache.org/repos/asf?p=karaf.git;a=commitdiff;h=f5fecedf2fab57447480ee524308d24df923849f,1392968983657
http://sealytics.github.io/ontologies/release-model#Bug-7bc55d15-efe1-422f-81b7-440e4cbe9c1d,Fixed on karaf-2.3.x: http://svn.apache.org/viewvc?view=revision&amp;revision=1550193,1386756534698
http://sealytics.github.io/ontologies/release-model#Bug-7bc55d15-efe1-422f-81b7-440e4cbe9c1d,Fixed on trunk: http://svn.apache.org/viewvc?view=revision&amp;revision=1550105,1386756534698
http://sealytics.github.io/ontologies/release-model#Bug-7bc55d15-efe1-422f-81b7-440e4cbe9c1d,Fixed on karaf-2.x: http://svn.apache.org/viewvc?view=revision&amp;revision=1550166,1386756534698
http://sealytics.github.io/ontologies/release-model#Bug-e1dad28b-9dd2-481b-9ad5-e3b3c23d1bfb,FELIX-4362 blocks the use of ConfigAdmin 1.8.0,1387378626833
http://sealytics.github.io/ontologies/release-model#Bug-e1dad28b-9dd2-481b-9ad5-e3b3c23d1bfb,"https://git-wip-us.apache.org/repos/asf?p=karaf.git;a=commitdiff;h=96b36a6b5e8a93bb9c0ed908cec4078c9941ff7c

https://git-wip-us.apache.org/repos/asf?p=karaf.git;a=commitdiff;h=bdfbcd137d34f0820e66fef68844da0b8f85fd62
https://git-wip-us.apache.org/repos/asf?p=karaf.git;a=commitdiff;h=4246e60e0091d8721d938d9ee88e02157584f225",1387378626833
http://sealytics.github.io/ontologies/release-model#Bug-80cb5e40-e32c-4592-ac82-4f646ff62f24,Fixed build is https://karaf.apache.org/index/community/download/karaf-3.0.1-release.html,1396275931521
http://sealytics.github.io/ontologies/release-model#Bug-80cb5e40-e32c-4592-ac82-4f646ff62f24,Looks like that this issue is already fixed in Karaf 3.0.1,1396275931521
http://sealytics.github.io/ontologies/release-model#Bug-ea853806-b436-4b9a-9f47-203b30448168,"This seems to be related to an issue with SCR and Felix.

http://stackoverflow.com/questions/22813438/jcr-eventlistener-activate-method-not-found-adobe-cq-5-6-0 (Scroll down to bottom)

I will close this issue",1406574111506
http://sealytics.github.io/ontologies/release-model#Bug-a857dd9f-d5b4-46b7-a652-0dc7f5967ed0,Fixed on karaf-2.x: https://git-wip-us.apache.org/repos/asf?p=karaf.git;a=commitdiff;h=e6e96700cc61fa361a613391debe1654bdba28bc,1389271183351
http://sealytics.github.io/ontologies/release-model#Bug-a857dd9f-d5b4-46b7-a652-0dc7f5967ed0,Fixed on master: https://git-wip-us.apache.org/repos/asf?p=karaf.git;a=commitdiff;h=ebe7b06a6bf57918e6861e74f09c91a65df21be8,1389271183351
http://sealytics.github.io/ontologies/release-model#Bug-a857dd9f-d5b4-46b7-a652-0dc7f5967ed0,Fixed on karaf-2.3.x: https://git-wip-us.apache.org/repos/asf?p=karaf.git;a=commitdiff;h=4b83a5ae152130202df71cf636dac6fd4fb81902,1389271183351
http://sealytics.github.io/ontologies/release-model#Bug-a857dd9f-d5b4-46b7-a652-0dc7f5967ed0,We now have Spring 4.0.1.RELEASE bundles at ServiceMix.,1389271183351
http://sealytics.github.io/ontologies/release-model#Bug-a857dd9f-d5b4-46b7-a652-0dc7f5967ed0,"Unfortunately, Spring won&apos;t provide bundles anymore. I gonna create the bundles at ServiceMix.",1389271183351
http://sealytics.github.io/ontologies/release-model#Bug-a857dd9f-d5b4-46b7-a652-0dc7f5967ed0,Fixed on karaf-3.0.x: https://git-wip-us.apache.org/repos/asf?p=karaf.git;a=commitdiff;h=8ca2f8274bdda2764dc9efb27e8e72cc60f07ad0,1389271183351
http://sealytics.github.io/ontologies/release-model#Bug-153b1bcd-101d-4f1c-935e-ea56eb5c0d2c,I&apos;ll close the issue when all branches are upgraded to pax-logging 1.7.3,1379946442525
http://sealytics.github.io/ontologies/release-model#Bug-153b1bcd-101d-4f1c-935e-ea56eb5c0d2c,See https://ops4j1.jira.com/browse/PAXLOGGING-179,1379946442525
http://sealytics.github.io/ontologies/release-model#Bug-153b1bcd-101d-4f1c-935e-ea56eb5c0d2c,"The problem comes from Equinox framework which publishes a LogService and LogReaderService services.  Given those have the same ranking than pax-web and published first, they are used instead of pax-web.

In addition, the LogReaderService published by equinox always return an empty enumeration when called for getLog().

I think the best option would be to raise the ranking level of pax-web published services.",1379946442525
