CR,CM,time
http://sealytics.github.io/ontologies/release-model#Bug-a577f8a8-bc85-4d14-bc4d-463079ac86d4,"A hotfix was merged here, but we should really fix the test:
https://github.com/apache/spark/pull/1141",1403226668828
http://sealytics.github.io/ontologies/release-model#Bug-7b2dbcf2-8b23-41e1-938a-a9194bfb98b1,[~ankurd] is there another ticket to track the root cause diagnosis?  I&apos;m seeing a similar error with a custom registrator (not GraphX&apos;s) and would like to follow along.,1409813023891
http://sealytics.github.io/ontologies/release-model#Bug-7b2dbcf2-8b23-41e1-938a-a9194bfb98b1,"Issue resolved by pull request 2271
[https://github.com/apache/spark/pull/2271]",1409813023891
http://sealytics.github.io/ontologies/release-model#Bug-7b2dbcf2-8b23-41e1-938a-a9194bfb98b1,"User &apos;ankurdave&apos; has created a pull request for this issue:
https://github.com/apache/spark/pull/2271",1409813023891
http://sealytics.github.io/ontologies/release-model#Bug-0683aba8-eb46-4ea5-bd08-43f5d306b0b0,"User &apos;ueshin&apos; has created a pull request for this issue:
https://github.com/apache/spark/pull/1887",1407747238690
http://sealytics.github.io/ontologies/release-model#Bug-d79ac4ea-c154-4b17-84a8-0699d173b211,We were able to reproduce this - thanks for reporting it.,1392885266886
http://sealytics.github.io/ontologies/release-model#Bug-d79ac4ea-c154-4b17-84a8-0699d173b211,This is not resolved yet because it needs to be back ported into 0.9,1392885266886
http://sealytics.github.io/ontologies/release-model#Bug-d79ac4ea-c154-4b17-84a8-0699d173b211,"Can a clear workaround be specified for this bug please? For those unable to upgrade to run on 1.0.1  or 1.1.0 in production, general instructions on the workaround are required. This is a huge blocker for current production deployments (even on 1.0.0) otherwise. For instance, running a saveAsTextFile() on an RDD (~400MB) causes execution to freeze with the last log statements seen on the driver being:

14/06/25 16:38:55 INFO spark.SparkContext: Starting job: saveAsTextFile at Test.java:99
14/06/25 16:38:55 INFO scheduler.DAGScheduler: Got job 6 (saveAsTextFile at Test.java:99) with 2 output partitions (allowLocal=false)
14/06/25 16:38:55 INFO scheduler.DAGScheduler: Final stage: Stage 6(saveAsTextFile at Test.java:99)
14/06/25 16:38:55 INFO scheduler.DAGScheduler: Parents of final stage: List()
14/06/25 16:38:55 INFO scheduler.DAGScheduler: Missing parents: List()
14/06/25 16:38:55 INFO scheduler.DAGScheduler: Submitting Stage 6 (MappedRDD[558] at saveAsTextFile at Test.java:99), which has no missing parents
14/06/25 16:38:55 INFO scheduler.DAGScheduler: Submitting 2 missing tasks from Stage 6 (MappedRDD[558] at saveAsTextFile at Test.java:99)
14/06/25 16:38:55 INFO scheduler.TaskSchedulerImpl: Adding task set 6.0 with 2 tasks
14/06/25 16:38:55 INFO scheduler.TaskSetManager: Starting task 6.0:0 as TID 5 on executor 1: somehost.corp (PROCESS_LOCAL)
14/06/25 16:38:55 INFO scheduler.TaskSetManager: Serialized task 6.0:0 as 351777 bytes in 36 ms
14/06/25 16:38:55 INFO scheduler.TaskSetManager: Starting task 6.0:1 as TID 6 on executor 0: someotherhost.corp (PROCESS_LOCAL)
14/06/25 16:38:55 INFO scheduler.TaskSetManager: Serialized task 6.0:1 as 186453 bytes in 16 ms

The test setup for reproducing this issue has two slaves (each with 24G) running spark standalone. The driver runs with Xmx 4G.

Thanks.",1392885266886
http://sealytics.github.io/ontologies/release-model#Bug-d79ac4ea-c154-4b17-84a8-0699d173b211,"No, I create the SparkContext after setting the properties (and I&apos;ve nothing on my nodes for configuring the frameSize, it&apos;s a per-process configuration). 

So before my workaround, I was just setting the property (and the environment in the UI was showing the right value) and passing a SPARK_JAVA_OPTS to the env of the SparkContext with 
{code}
System.setProperty(&quot;spark.serializer&quot;, &quot;org.apache.spark.serializer.KryoSerializer&quot;)
System.setProperty(&quot;spark.kryo.registrator&quot;, registrator)
System.setProperty(&quot;spark.kryo.referenceTracking&quot;, &quot;false&quot;)
System.setProperty(&quot;spark.kryoserializer.buffer.mb&quot;, bufferSize.toString)
System.setProperty(&quot;spark.locality.wait&quot;, &quot;10000&quot;)
System.setProperty(&quot;spark.hadoop.mapreduce.output.fileoutputformat.compress&quot;, &quot;true&quot;)
System.setProperty(&quot;spark.hadoop.mapreduce.output.fileoutputformat.compress.codec&quot;, codec)
System.setProperty(&quot;spark.hadoop.mapreduce.output.fileoutputformat.compress.type&quot;, &quot;BLOCK&quot;)
System.setProperty(&quot;spark.akka.frameSize&quot;, akkaFrameSize.toString)

val sb = new StringBuilder()
sb.append(&quot;-Dspark.storage.memoryFraction=&quot; + sparkMemoryFraction())
sb.append(&quot; -Dspark.worker.timeout=&quot; + sparkWorkerTimeout())
sb.append(&quot; -Dspark.akka.askTimeout=&quot; + sparkAkkaAskTimeout())
sb.append(&quot; -Dspark.akka.timeout=&quot; + sparkAkkaTimeout())
sb.append(&quot; -Dspark.shuffle.consolidateFiles=&quot; + sparkShuffleConsolidateFiles())

var env = new HashMap[String, String]()
env += &quot;SPARK_JAVA_OPTS&quot; -&gt; sb.toString()

val sc = new SparkContext(sparkMaster(), appName, sparkHome(), jars(), env)
{code}

That caused a problem (the akka frame size seemed to be passed to the executor, but only after the creation of the actorSystem, because it was taking the right code path, but the akka system didn&apos;t seem to be properly configured).

Now if I add this to my code :

{code}
sb.append(&quot; -Dspark.akka.frameSize=&quot; + akkaFrameSize)
{code}

It works
",1392885266886
http://sealytics.github.io/ontologies/release-model#Bug-d79ac4ea-c154-4b17-84a8-0699d173b211,"Guillaume, just to clarify, the logs you pasted above are for when you set the maximum frame size to 16MiB?  I&apos;m asking because the task results seem to be just slightly larger than 16MiB, which isn&apos;t the failure case you mentioned in your description.",1392885266886
http://sealytics.github.io/ontologies/release-model#Bug-d79ac4ea-c154-4b17-84a8-0699d173b211,Cool thanks for clarifying!  Looking into this...,1392885266886
http://sealytics.github.io/ontologies/release-model#Bug-d79ac4ea-c154-4b17-84a8-0699d173b211,"Does anyone test in version0.9.2ï¼ŒI found it also failed , while  v1.0.1 &amp; v1.1.0 is ok. ",1392885266886
http://sealytics.github.io/ontologies/release-model#Bug-d79ac4ea-c154-4b17-84a8-0699d173b211,"No Exception, and not &quot;hanging&quot; in the bad way the executors can sometime hang : if I kill the driver, the workers receive the shutdown signal and exit cleanly.

Here are the logs :

DRIVER :

14/02/19 16:21:49 INFO TaskSetManager: Serialized task 12.0:13 as 2083 bytes in 0 ms
14/02/19 16:21:49 INFO TaskSetManager: Starting task 12.0:14 as TID 2294 on executor 1: t4.exensa.loc (PROCESS_LOCAL)
14/02/19 16:21:49 INFO TaskSetManager: Serialized task 12.0:14 as 2083 bytes in 0 ms
14/02/19 16:21:49 INFO TaskSetManager: Starting task 12.0:15 as TID 2295 on executor 4: t3.exensa.loc (PROCESS_LOCAL)
14/02/19 16:21:49 INFO TaskSetManager: Serialized task 12.0:15 as 2083 bytes in 1 ms
14/02/19 16:21:49 INFO TaskSetManager: Starting task 12.0:16 as TID 2296 on executor 0: t0.exensa.loc (PROCESS_LOCAL)
14/02/19 16:21:49 INFO TaskSetManager: Serialized task 12.0:16 as 2083 bytes in 2 ms
14/02/19 16:21:49 INFO TaskSetManager: Starting task 12.0:17 as TID 2297 on executor 3: t1.exensa.loc (PROCESS_LOCAL)
14/02/19 16:21:49 INFO TaskSetManager: Serialized task 12.0:17 as 2083 bytes in 1 ms
14/02/19 16:21:49 INFO TaskSetManager: Starting task 12.0:18 as TID 2298 on executor 2: t5.exensa.loc (PROCESS_LOCAL)
14/02/19 16:21:49 INFO TaskSetManager: Serialized task 12.0:18 as 2083 bytes in 1 ms
14/02/19 16:21:49 INFO TaskSetManager: Starting task 12.0:19 as TID 2299 on executor 5: t6.exensa.loc (PROCESS_LOCAL)
14/02/19 16:21:49 INFO TaskSetManager: Serialized task 12.0:19 as 2083 bytes in 1 ms

EXECUTOR :
14/02/19 15:21:53 INFO Executor: Serialized size of result for 2287 is 17229427
14/02/19 15:21:53 INFO Executor: Sending result for 2287 directly to driver
14/02/19 15:21:53 INFO Executor: Serialized size of result for 2299 is 17229262
14/02/19 15:21:53 INFO Executor: Sending result for 2299 directly to driver
14/02/19 15:21:53 INFO Executor: Finished task ID 2299
14/02/19 15:21:53 INFO Executor: Finished task ID 2287
14/02/19 15:21:53 INFO Executor: Serialized size of result for 2281 is 17229426
14/02/19 15:21:53 INFO Executor: Sending result for 2281 directly to driver
14/02/19 15:21:53 INFO Executor: Finished task ID 2281

There is a timezone difference between driver &amp; executor

",1392885266886
http://sealytics.github.io/ontologies/release-model#Bug-d79ac4ea-c154-4b17-84a8-0699d173b211,"I&apos;m curious, why did you want to make the frameSize this big -- are the tasks themselves also big or just the results? There might be other buffers in Akka that can&apos;t be made bigger than this. It&apos;s possible that this changed in a newer Akka version (because larger frame sizes used to work before).",1392885266886
http://sealytics.github.io/ontologies/release-model#Bug-d79ac4ea-c154-4b17-84a8-0699d173b211,"Hey There,

I spent some time playing with this and couldn&apos;t reproduce the issue. The driver should capture the options and pass them to executors. I just tested this with a local cluster and was able to verify the akka frame size is passed to executors even if it&apos;s not set in spark-env.sh where the executor launches.

[~roshan] - what happens if you remove the setting from spark-env.sh on the executors and only set it at the driver. Does that work correctly?",1392885266886
http://sealytics.github.io/ontologies/release-model#Bug-d79ac4ea-c154-4b17-84a8-0699d173b211,"[~reachbach] If you are running on standalone mode, it might work if you go on every node in your cluster and add the following to spark-env.sh:

{code}
export SPARK_JAVA_OPTS=&quot;-Dspark.akka.frameSize=XXX&quot;
{code}

However, this work around will only work if every job in your cluster is using the same frame size (XXX).

The main recommendation is to upgrade to 1.0.1. We are very conservative about what we merge into maintenance branches, so we recommend users upgrade immediately once we release them.",1392885266886
http://sealytics.github.io/ontologies/release-model#Bug-d79ac4ea-c154-4b17-84a8-0699d173b211,"Issue resolved by pull request 1455
[https://github.com/apache/spark/pull/1455]",1392885266886
http://sealytics.github.io/ontologies/release-model#Bug-d79ac4ea-c154-4b17-84a8-0699d173b211,"Hi all, 

I&apos;m very new to Spark and doing some tests, I&apos;ve experienced similar issue.
(tested with Spark Shell, 0.9.1, r3.8xlarge instance on EC2 - 32 core / 244GiB MEM)

I was trying to broadcast 700MB of data and Spark hangs when I run collect() method for the data. 

Here&apos;s the strange things :
1) when I tried 
{code}val userInfo = sc.textFile(&quot;file:///spark/logs/user_sign_up2.csv&quot;).map{line =&gt; val split = line.split(&quot;,&quot;); (split(1), split)}
val userInfoMap = userInfo.collectAsMap
{code}
it runs well.
2) when I tried 
{code}val userInfo = sc.textFile(&quot;file:///spark/logs/user_sign_up2.csv&quot;).map{line =&gt; val split = line.split(&quot;,&quot;); (split(1), split(5))} 
val userInfoMap = userInfo.collectAsMap
{code}
Spark hangs.
3) when I slightly control the data size using sample() method or cutting the data file, it runs well. 

Our team investigated logs from master and worker then we found worker finished all tasks but master couldn&apos;t retrieve the result from a task the result size larger than 10MB

We tried to apply the workaround setting spark.akka.frameSize to 9, it works like a charm.

I guess it might hard to reproduce the issue, please contact me if there&apos;s need of testing or getting logs. 

Thanks!",1392885266886
http://sealytics.github.io/ontologies/release-model#Bug-d79ac4ea-c154-4b17-84a8-0699d173b211,"[~matei]
I&apos;ve found the default of spark.akka.frameSize is 10 from the config document, http://spark.apache.org/docs/0.9.1/configuration.html
just tried to slightly larger and smaller (11 and 9) values.

I did collect() method on the userInfo and it might contains large data. (edited the first comment.)

",1392885266886
http://sealytics.github.io/ontologies/release-model#Bug-d79ac4ea-c154-4b17-84a8-0699d173b211,"Hi,

I just realized my driver wasn&apos;t picking up spark.akka.frameSize value, because of a problem in the way I was passing it in. However, my executor&apos;s were picking this value correctly from their conf/spark-env.sh files.

Now, both sides, the driver and executors print the correct value for frameSize with spark.akka.logAkkaConfig=true.

I also noticed that simply starting the driver with java -Dspark.akka.frameSize=200 does not propagate this automatically to the executors. Not that this is an issue. I guess I was just confused about the configuration.

Guillaume, seems like you have the reverse situation as mine, ie. your drivers are correctly configured with the right frameSize, but the executors are still using the 10MB default?

To conclude, after ensuring that the driver is correctly configured with the right frameSize, so far, serialized tasks larger than 10MB are being received by the executors and run successfully.

Roshan",1392885266886
http://sealytics.github.io/ontologies/release-model#Bug-d79ac4ea-c154-4b17-84a8-0699d173b211,"Roshan, the issue you&apos;re seeing is different -- Guillaume&apos;s issue is when task results are too large to be sent using Akka (in which case Spark should use a different code path to send task results to the executor); your issue is when the task itself is too large, in which case Spark (in theory!) gives up and throw an error.  We should fix both problems, but would you mind opening a separate issue?",1392885266886
