CR,CM,time
http://sealytics.github.io/ontologies/release-model#Bug-5e9584a8-18e2-4314-b6cd-367d0406027d,"Your patch would&apos;ve thrown a NPE if the InputStream wasn&apos;t a TikaInputStream. In r1534816 I&apos;ve added a version that only does the AWT check if we have a TikaInputStream, as that&apos;s the only way we can be sure we can rewind to then use FontBox. That should work for most people for now, but the proper fix is to get the EOF check into PDFBox, then upgrade our dependency and remove the extra check from Tika",1381537457202
http://sealytics.github.io/ontologies/release-model#Bug-5e9584a8-18e2-4314-b6cd-367d0406027d,See: https://issues.apache.org/jira/browse/PDFBOX-1749,1381537457202
http://sealytics.github.io/ontologies/release-model#Bug-5e9584a8-18e2-4314-b6cd-367d0406027d,"I retested with the current Tika trunk and can confirm that this file is now handled in FontBox properly (throwing a java.io.EOFException). We should revert https://github.com/apache/tika/commit/bbd065b7070651d939a84e043b4f6f22f80269d9 to remove the temporary workaround and can resolve this ticket.

This is trivial and would be good to have as the workaround has its own issues:

{code}
Font.createFont(Font.TRUETYPE_FONT, tis.getFile());
{code}
Not 100% sure but I think the JDK&apos;s FontManager will permanently keep a file handle open for any font created that way.

{code}
tis.mark(0);
Font.createFont(Font.TRUETYPE_FONT, stream);
tis.reset();
{code}
This never really worked as a mark(0) with subsequent reads from the stream will cause reset to throw an IOException.
",1381537457202
http://sealytics.github.io/ontologies/release-model#Bug-5e9584a8-18e2-4314-b6cd-367d0406027d,"SUCCESS: Integrated in tika-trunk-jdk1.7 #25 (See [https://builds.apache.org/job/tika-trunk-jdk1.7/25/])
Remove the temporary PDFBox workaround for TIKA-1182, now that we have upgraded to a version with the fix (nick: http://svn.apache.org/viewvc/tika/trunk/?view=rev&amp;rev=1600844)
* /tika/trunk/tika-parsers/src/main/java/org/apache/tika/parser/font/TrueTypeParser.java
",1381537457202
http://sealytics.github.io/ontologies/release-model#Bug-5e9584a8-18e2-4314-b6cd-367d0406027d,"To build and run attached source:

javac -cp tika-app-1.4.jar TIKA_1182.java
java -cp .:tika-app-1.4.jar TIKA_1182
",1381537457202
http://sealytics.github.io/ontologies/release-model#Bug-5e9584a8-18e2-4314-b6cd-367d0406027d,"TikaInputStream.get will wrap the stream if it isn&apos;t already a TikaInputStream

TikaInputStream.cast will cast to a TikaInputStream if possible, else return null. A typical use for this is the code in the ttf parser, where we can shortcut something with TIS+File but have a backup if not

See http://tika.apache.org/1.4/api/org/apache/tika/io/TikaInputStream.html#cast%28java.io.InputStream%29 for more details",1381537457202
http://sealytics.github.io/ontologies/release-model#Bug-5e9584a8-18e2-4314-b6cd-367d0406027d,"It looks from the stacktrace like the bug is actually in FontBox, part of the Apache PDFBox project. Most likely you&apos;ll need to report this upstream to PDFBox",1381537457202
http://sealytics.github.io/ontologies/release-model#Bug-5e9584a8-18e2-4314-b6cd-367d0406027d,Temporary fix reverted in r1600844.,1381537457202
http://sealytics.github.io/ontologies/release-model#Bug-5e9584a8-18e2-4314-b6cd-367d0406027d,"The pdfbox project is suggesting that, because this is a bad font, we should try to precheck the font with java.awt.Font.createFont. I have modified TrueTypeParser.java to do this. It passes all tests and does not go into an infinite loop or blow out the memory, but I don&apos;t know if this will work with Tika. Patch attached.",1381537457202
http://sealytics.github.io/ontologies/release-model#Bug-5e9584a8-18e2-4314-b6cd-367d0406027d,"SUCCESS: Integrated in tika-trunk-jdk1.6 #25 (See [https://builds.apache.org/job/tika-trunk-jdk1.6/25/])
Remove the temporary PDFBox workaround for TIKA-1182, now that we have upgraded to a version with the fix (nick: http://svn.apache.org/viewvc/tika/trunk/?view=rev&amp;rev=1600844)
* /tika/trunk/tika-parsers/src/main/java/org/apache/tika/parser/font/TrueTypeParser.java
",1381537457202
http://sealytics.github.io/ontologies/release-model#Bug-5e9584a8-18e2-4314-b6cd-367d0406027d,"https://issues.apache.org/jira/browse/PDFBOX-1749
-&gt; Seems the EOF check was actually fixed in PDFBox 1.8.3

Tika 1.5 uses PDFBox 1.8.4 (updated in TIKA-1230)
=&gt; This issue can now be addressed properly as suggested by Nick Burch 22/Oct/2013...",1381537457202
http://sealytics.github.io/ontologies/release-model#Bug-5e9584a8-18e2-4314-b6cd-367d0406027d,"For what it&apos;s worth, increasing max heap to 16gb does not help.

{code}
java -Xmx16000m -cp .:tika-app-1.4.jar TIKA_1182 
error: array index out of bounds
Exception in thread &quot;main&quot; java.lang.OutOfMemoryError: Java heap space
	at org.apache.fontbox.ttf.GlyfCompositeDescript.&lt;init&gt;(GlyfCompositeDescript.java:59)
	at org.apache.fontbox.ttf.GlyphData.initData(GlyphData.java:63)
	at org.apache.fontbox.ttf.GlyphTable.initData(GlyphTable.java:71)
	at org.apache.fontbox.ttf.AbstractTTFParser.parseTables(AbstractTTFParser.java:163)
	at org.apache.fontbox.ttf.TTFParser.parseTables(TTFParser.java:61)
	at org.apache.fontbox.ttf.AbstractTTFParser.parseTTF(AbstractTTFParser.java:90)
	at org.apache.fontbox.ttf.TTFParser.parseTTF(TTFParser.java:26)
	at org.apache.fontbox.ttf.AbstractTTFParser.parseTTF(AbstractTTFParser.java:66)
	at org.apache.fontbox.ttf.TTFParser.parseTTF(TTFParser.java:26)
	at org.apache.tika.parser.font.TrueTypeParser.parse(TrueTypeParser.java:65)
	at org.apache.tika.parser.CompositeParser.parse(CompositeParser.java:242)
	at org.apache.tika.parser.CompositeParser.parse(CompositeParser.java:242)
	at org.apache.tika.parser.AutoDetectParser.parse(AutoDetectParser.java:120)
	at TIKA_1182.main(TIKA_1182.java:19)
{code}",1381537457202
http://sealytics.github.io/ontologies/release-model#Bug-5e9584a8-18e2-4314-b6cd-367d0406027d,"Thanks, Nick. I didn&apos;t know TikaInputStream.cast could return null. Thanks also for commenting on the upstream bug; it&apos;s good to have somebody from tika asking for a better fix from fontbox.",1381537457202
http://sealytics.github.io/ontologies/release-model#Bug-5e9584a8-18e2-4314-b6cd-367d0406027d,"Hi Nick,

Of course, thanks. I will report upstream and link. ",1381537457202
http://sealytics.github.io/ontologies/release-model#Bug-a71aa89f-209f-4895-bd57-10122b1a39ad,"From TIKA-1396:
bq. As a hack, you can also change the value of extractInlineImages in org.apache.tika.parser.pdf.PDFParser.properties within the app jar. 

Did you try this?",1410472619089
http://sealytics.github.io/ontologies/release-model#Bug-a71aa89f-209f-4895-bd57-10122b1a39ad,"[~tpalsulich], great.  Thank you!  It might make sense to have two examples, one with basic EmbeddedResourceHandler with ParserContainerExtractor...something that writes attachments to output files; and one specifically for PDFParser and inline images.  Y, we do have a working example in at least one unit test for PDFParser (testEmbeddedFilesInChildren).",1410472619089
http://sealytics.github.io/ontologies/release-model#Bug-a71aa89f-209f-4895-bd57-10122b1a39ad,"[~tpalsulich], any interest in adding an example for how to extract embedded images from pdfs in oat.example?  Perhaps demo EmbeddedResourceHandler with ParserContainerExtractor?",1410472619089
http://sealytics.github.io/ontologies/release-model#Bug-a71aa89f-209f-4895-bd57-10122b1a39ad,"bq. any interest in adding an example for how to extract embedded images from pdfs in oat.example?

Sounds like a perfect example! Do we have a working version yet? I imagine it will be similar to how OCR will work (TIKA-93), since we have to &quot;turn on&quot; extraction there, too. I&apos;ll create a new issue to track this example right now.

Edit: See TIKA-1417.",1410472619089
http://sealytics.github.io/ontologies/release-model#Bug-a71aa89f-209f-4895-bd57-10122b1a39ad,"[~damiano], I&apos;ll close this out shortly unless I hear that you are still having issues.",1410472619089
http://sealytics.github.io/ontologies/release-model#Bug-76e9fbcc-628a-4bdb-848b-6147f1fe224a,I can see the text missing in Apache POI WordToTextConverter output. But I can see it ok in one variable in debugger. Should I move with this to Apache POI bug tracker?,1384250138615
http://sealytics.github.io/ontologies/release-model#Bug-76e9fbcc-628a-4bdb-848b-6147f1fe224a,Sorry I needed to remove the document because it contained some personal information. I will upload some &quot;safe&quot; one as soon as possible.,1384250138615
http://sealytics.github.io/ontologies/release-model#Bug-76e9fbcc-628a-4bdb-848b-6147f1fe224a,"I&apos;ve had a quick look, and WordExtractor from Apache POI skips the text too

My first hunch would be that it&apos;s something to do with text fields

Any chance you could step through the parser in a debugger, checking the text of the ranges around the point of the missing text, and see if there&apos;s anything odd going on?",1384250138615
http://sealytics.github.io/ontologies/release-model#Bug-76e9fbcc-628a-4bdb-848b-6147f1fe224a,&quot;mluvil s MilouÅ¡kem: poslat nabÃ­dku&quot; is the problematic line/cell,1384250138615
http://sealytics.github.io/ontologies/release-model#Bug-868df366-f4b8-4d29-a478-e0403d0a40b7,Sorry ... the link to STANBOL-1171 and the above comment where added to the wrong issue. Please delete them if possible. ,1366283166898
http://sealytics.github.io/ontologies/release-model#Bug-868df366-f4b8-4d29-a478-e0403d0a40b7,"For ooxml files, the metadata is mostly in a few different xml files within the zip. For excel, there&apos;s also a few bits stored in the main spreadsheet / sheet stream too...

Not sure if it would break things if we did most of the metadata fetching first. Could you try moving the metadata line up, and see if the unit tests all still pass?",1366283166898
http://sealytics.github.io/ontologies/release-model#Bug-868df366-f4b8-4d29-a478-e0403d0a40b7,"Nick, thanks a lot for your answer. I do use the API, and I see the same behaviour: when my ContentHandler is called on the text data, the metadata is not set (yet). It is only set when endDocument is called. Am I doing something wrong?

Looking at:
http://svn.apache.org/viewvc/tika/trunk/tika-parsers/src/main/java/org/apache/tika/parser/microsoft/ooxml/OOXMLExtractorFactory.java?revision=1339390&amp;view=markup

and specifically:

108                 // We need to get the content first, but not end 
109	            //  the document just yet
110	            EndDocumentShieldingContentHandler handler = 
111	               new EndDocumentShieldingContentHandler(baseHandler);
112	            extractor.getXHTML(handler, metadata, context);
113	
114	            // Now we can get the metadata
115	            extractor.getMetadataExtractor().extract(metadata);

It seems to me that metadata is read only after the text, which explains the behaviour. Why is this needed? Am I misunderstanding something?
",1366283166898
http://sealytics.github.io/ontologies/release-model#Bug-868df366-f4b8-4d29-a478-e0403d0a40b7,"To workaround the reported issues I created an own bundle for Tika 1.5 [1]. This bundle does not embed commons-compress, xz, commons-codec, commons-io as those are anyway required by other Apache Stanbol modules and therefore guaranteed to be around in the OSGI environment. Not sure if Tika would like to embed those to avoid dependencies to other bundles.

If you like me to create a patch for 1.5 or 1.6-SNAPSHOT just leave a short comment.


[1] http://svn.apache.org/repos/asf/stanbol/branches/release-0.12/commons/tikabundle/pom.xml",1366283166898
