CR,CM,time
http://sealytics.github.io/ontologies/release-model#Bug-c2730a94-d490-41a0-9bcd-1f12aec2dde9,Attached patch for putting retries for data locality.,1384881461942
http://sealytics.github.io/ontologies/release-model#Bug-c2730a94-d490-41a0-9bcd-1f12aec2dde9,"+1, no tests needed",1384881461942
http://sealytics.github.io/ontologies/release-model#Bug-c2730a94-d490-41a0-9bcd-1f12aec2dde9,Committed.,1384881461942
http://sealytics.github.io/ontologies/release-model#Bug-bca914b8-f983-4b12-a508-ee6ed46324fa,+1 for the patch,1407943497976
http://sealytics.github.io/ontologies/release-model#Bug-bca914b8-f983-4b12-a508-ee6ed46324fa,Committed to trunk,1407943497976
http://sealytics.github.io/ontologies/release-model#Bug-be3df955-225e-4379-8158-a9c5c48c02dd,committed to trunk and branch 1.6.1,1404215050922
http://sealytics.github.io/ontologies/release-model#Bug-be3df955-225e-4379-8158-a9c5c48c02dd,additional patches added,1404215050922
http://sealytics.github.io/ontologies/release-model#Bug-be3df955-225e-4379-8158-a9c5c48c02dd,additional patches committed to trunk and branch 1.6.1,1404215050922
http://sealytics.github.io/ontologies/release-model#Bug-be3df955-225e-4379-8158-a9c5c48c02dd,+1 for patches,1404215050922
http://sealytics.github.io/ontologies/release-model#Bug-b946438a-e17a-4158-a7b1-f778e9bac175,"The metrics changed. 
Now use metrics.yarn.AllocatedGB and metrics.yarn.AvailableGB of each NodeManager in this case. 
Result attached",1404237254788
http://sealytics.github.io/ontologies/release-model#Bug-b946438a-e17a-4158-a7b1-f778e9bac175,Committed to trunk and branch-1.6.1,1404237254788
http://sealytics.github.io/ontologies/release-model#Bug-b946438a-e17a-4158-a7b1-f778e9bac175,+1 for the patch.,1404237254788
http://sealytics.github.io/ontologies/release-model#Bug-9e33bc96-3c9f-449d-94f2-c6569140ed03,Patch committed to trunk.,1393386239918
http://sealytics.github.io/ontologies/release-model#Bug-9e33bc96-3c9f-449d-94f2-c6569140ed03,+1 for patch.,1393386239918
