# 422 6 2532
1 1:0.416667 2:0.1875 3:0.125 4:0.229167 5:0.0208333 6:0.0208333
2 1:0.2 2:0.0285714 3:0.685714 4:0.0285714 5:0.0285714 6:0.0285714
3 1:0.09689 2:0.0442584 3:0.155502 4:0.196172 5:0.415072 6:0.0921053
4 1:0.142857 2:0.047619 3:0.285714 4:0.047619 5:0.047619 6:0.428571
5 1:0.153846 2:0.307692 3:0.0769231 4:0.0769231 5:0.230769 6:0.153846
6 1:0.375 2:0.125 3:0.125 4:0.125 5:0.125 6:0.125
7 1:0.375 2:0.125 3:0.125 4:0.125 5:0.125 6:0.125
8 1:0.0952381 2:0.047619 3:0.428571 4:0.047619 5:0.0952381 6:0.285714
9 1:0.0769231 2:0.230769 3:0.461538 4:0.0769231 5:0.0769231 6:0.0769231
10 1:0.375 2:0.125 3:0.125 4:0.125 5:0.125 6:0.125
11 1:0.157895 2:0.0263158 3:0.552632 4:0.0263158 5:0.0263158 6:0.210526
12 1:0.125 2:0.0416667 3:0.0416667 4:0.25 5:0.0416667 6:0.5
13 1:0.333333 2:0.166667 3:0.0333333 4:0.116667 5:0.2 6:0.15
14 1:0.571429 2:0.142857 3:0.0714286 4:0.0714286 5:0.0714286 6:0.0714286
15 1:0.222222 2:0.111111 3:0.111111 4:0.111111 5:0.111111 6:0.333333
16 1:0.153846 2:0.0153846 3:0.0153846 4:0.0153846 5:0.0153846 6:0.784615
17 1:0.375 2:0.125 3:0.125 4:0.125 5:0.125 6:0.125
18 1:0.339623 2:0.0188679 3:0.150943 4:0.188679 5:0.0943396 6:0.207547
19 1:0.333333 2:0.111111 3:0.111111 4:0.222222 5:0.111111 6:0.111111
20 1:0.353383 2:0.0075188 3:0.135338 4:0.0902256 5:0.0075188 6:0.406015
21 1:0.422886 2:0.159204 3:0.343284 4:0.00497512 5:0.0199005 6:0.0497512
22 1:0.5 2:0.1 3:0.1 4:0.1 5:0.1 6:0.1
23 1:0.555556 2:0.0555556 3:0.111111 4:0.166667 5:0.0555556 6:0.0555556
24 1:0.457447 2:0.0478723 3:0.0904255 4:0.255319 5:0.00531915 6:0.143617
25 1:0.0606061 2:0.030303 3:0.636364 4:0.030303 5:0.0606061 6:0.181818
26 1:0.531915 2:0.0212766 3:0.0212766 4:0.170213 5:0.0212766 6:0.234043
27 1:0.72 2:0.04 3:0.04 4:0.12 5:0.04 6:0.04
28 1:0.0875 2:0.1125 3:0.275 4:0.1625 5:0.35 6:0.0125
29 1:0.5 2:0.1 3:0.1 4:0.1 5:0.1 6:0.1
30 1:0.375 2:0.125 3:0.125 4:0.125 5:0.125 6:0.125
31 1:0.666667 2:0.0666667 3:0.0666667 4:0.0666667 5:0.0666667 6:0.0666667
32 1:0.375 2:0.125 3:0.125 4:0.125 5:0.125 6:0.125
33 1:0.375 2:0.125 3:0.125 4:0.125 5:0.125 6:0.125
34 1:0.375 2:0.125 3:0.125 4:0.125 5:0.125 6:0.125
35 1:0.216667 2:0.0166667 3:0.133333 4:0.133333 5:0.233333 6:0.266667
36 1:0.363636 2:0.272727 3:0.0909091 4:0.0909091 5:0.0909091 6:0.0909091
37 1:0.25 2:0.416667 3:0.0833333 4:0.0833333 5:0.0833333 6:0.0833333
38 1:0.375 2:0.125 3:0.125 4:0.125 5:0.125 6:0.125
39 1:0.00233645 2:0.261682 3:0.401869 4:0.175234 5:0.156542 6:0.00233645
40 1:0.0483871 2:0.0215054 3:0.817204 4:0.00537634 5:0.00537634 6:0.102151
41 1:0.125 2:0.125 3:0.125 4:0.375 5:0.125 6:0.125
42 1:0.470588 2:0.0588235 3:0.0588235 4:0.294118 5:0.0588235 6:0.0588235
43 1:0.444444 2:0.111111 3:0.111111 4:0.111111 5:0.111111 6:0.111111
44 1:0.0769231 2:0.362637 3:0.0549451 4:0.230769 5:0.241758 6:0.032967
45 1:0.2 2:0.46 3:0.02 4:0.1 5:0.04 6:0.18
46 1:0.538462 2:0.0769231 3:0.025641 4:0.025641 5:0.025641 6:0.307692
47 1:0.5 2:0.1 3:0.1 4:0.1 5:0.1 6:0.1
48 1:0.0625 2:0.0208333 3:0.208333 4:0.208333 5:0.395833 6:0.104167
49 1:0.375 2:0.125 3:0.125 4:0.125 5:0.125 6:0.125
50 1:0.285714 2:0.142857 3:0.142857 4:0.142857 5:0.142857 6:0.142857
51 1:0.363636 2:0.0909091 3:0.0909091 4:0.0909091 5:0.181818 6:0.181818
52 1:0.2 2:0.4 3:0.1 4:0.1 5:0.1 6:0.1
53 1:0.375 2:0.125 3:0.125 4:0.125 5:0.125 6:0.125
54 1:0.148936 2:0.0992908 3:0.0992908 4:0.468085 5:0.0070922 6:0.177305
55 1:0.15 2:0.0833333 3:0.25 4:0.0666667 5:0.0666667 6:0.383333
56 1:0.181818 2:0.363636 3:0.0909091 4:0.181818 5:0.0909091 6:0.0909091
57 1:0.375 2:0.125 3:0.125 4:0.125 5:0.125 6:0.125
58 1:0.272727 2:0.0909091 3:0.0909091 4:0.0909091 5:0.0909091 6:0.363636
59 1:0.375 2:0.125 3:0.125 4:0.125 5:0.125 6:0.125
60 1:0.588235 2:0.117647 3:0.0588235 4:0.117647 5:0.0588235 6:0.0588235
61 1:0.318182 2:0.0227273 3:0.227273 4:0.0227273 5:0.0909091 6:0.318182
62 1:0.5 2:0.1 3:0.1 4:0.1 5:0.1 6:0.1
63 1:0.285714 2:0.142857 3:0.142857 4:0.142857 5:0.142857 6:0.142857
64 1:0.030303 2:0.151515 3:0.181818 4:0.545455 5:0.0606061 6:0.030303
65 1:0.5 2:0.1 3:0.1 4:0.1 5:0.1 6:0.1
66 1:0.47619 2:0.047619 3:0.047619 4:0.047619 5:0.047619 6:0.333333
67 1:0.470588 2:0.0588235 3:0.0588235 4:0.176471 5:0.0588235 6:0.176471
68 1:0.380952 2:0.333333 3:0.047619 4:0.0952381 5:0.047619 6:0.0952381
69 1:0.272727 2:0.409091 3:0.181818 4:0.0454545 5:0.0454545 6:0.0454545
70 1:0.202381 2:0.047619 3:0.452381 4:0.0833333 5:0.0119048 6:0.202381
71 1:0.252252 2:0.045045 3:0.0045045 4:0.108108 5:0.0765766 6:0.513514
72 1:0.375 2:0.208333 3:0.0833333 4:0.208333 5:0.0416667 6:0.0833333
73 1:0.156463 2:0.115646 3:0.142857 4:0.353741 5:0.0340136 6:0.197279
74 1:0.181818 2:0.034965 3:0.0769231 4:0.412587 5:0.160839 6:0.132867
75 1:0.2 2:0.5 3:0.0333333 4:0.0833333 5:0.0666667 6:0.116667
76 1:0.137931 2:0.103448 3:0.0689655 4:0.37931 5:0.275862 6:0.0344828
77 1:0.153846 2:0.307692 3:0.0769231 4:0.307692 5:0.0769231 6:0.0769231
78 1:0.309524 2:0.261905 3:0.142857 4:0.142857 5:0.0238095 6:0.119048
79 1:0.15 2:0.55 3:0.15 4:0.05 5:0.05 6:0.05
80 1:0.25 2:0.125 3:0.125 4:0.125 5:0.125 6:0.25
81 1:0.157895 2:0.526316 3:0.105263 4:0.105263 5:0.0526316 6:0.0526316
82 1:0.5 2:0.1 3:0.1 4:0.1 5:0.1 6:0.1
83 1:0.333333 2:0.111111 3:0.111111 4:0.111111 5:0.222222 6:0.111111
84 1:0.0315789 2:0.00526316 3:0.715789 4:0.0421053 5:0.0578947 6:0.147368
85 1:0.241379 2:0.172414 3:0.0344828 4:0.0344828 5:0.0344828 6:0.482759
86 1:0.529412 2:0.0588235 3:0.117647 4:0.176471 5:0.0588235 6:0.0588235
87 1:0.46875 2:0.03125 3:0.078125 4:0.09375 5:0.046875 6:0.28125
88 1:0.262295 2:0.0163934 3:0.0163934 4:0.213115 5:0.0163934 6:0.47541
89 1:0.285714 2:0.142857 3:0.142857 4:0.142857 5:0.142857 6:0.142857
90 1:0.307692 2:0.307692 3:0.153846 4:0.0769231 5:0.0769231 6:0.0769231
91 1:0.105263 2:0.0526316 3:0.157895 4:0.578947 5:0.0526316 6:0.0526316
92 1:0.5 2:0.1 3:0.1 4:0.1 5:0.1 6:0.1
93 1:0.097561 2:0.341463 3:0.0243902 4:0.146341 5:0.146341 6:0.243902
94 1:0.405405 2:0.27027 3:0.027027 4:0.108108 5:0.027027 6:0.162162
95 1:0.375 2:0.125 3:0.125 4:0.125 5:0.125 6:0.125
96 1:0.206731 2:0.0240385 3:0.288462 4:0.0961538 5:0.0817308 6:0.302885
97 1:0.333333 2:0.047619 3:0.142857 4:0.190476 5:0.190476 6:0.0952381
98 1:0.375 2:0.125 3:0.125 4:0.125 5:0.125 6:0.125
99 1:0.5 2:0.1 3:0.1 4:0.1 5:0.1 6:0.1
100 1:0.375 2:0.125 3:0.125 4:0.125 5:0.125 6:0.125
101 1:0.2 2:0.171429 3:0.0285714 4:0.342857 5:0.228571 6:0.0285714
102 1:0.0693642 2:0.0809249 3:0.0751445 4:0.138728 5:0.479769 6:0.156069
103 1:0.375 2:0.125 3:0.125 4:0.125 5:0.125 6:0.125
104 1:0.583333 2:0.0833333 3:0.0833333 4:0.0833333 5:0.0833333 6:0.0833333
105 1:0.583333 2:0.0416667 3:0.208333 4:0.0833333 5:0.0416667 6:0.0416667
106 1:0.526316 2:0.0526316 3:0.157895 4:0.105263 5:0.0526316 6:0.105263
107 1:0.328125 2:0.140625 3:0.015625 4:0.328125 5:0.015625 6:0.171875
108 1:0.4 2:0.285714 3:0.0285714 4:0.0857143 5:0.0285714 6:0.171429
109 1:0.5 2:0.0416667 3:0.0833333 4:0.0416667 5:0.0416667 6:0.291667
110 1:0.0204082 2:0.265306 3:0.0204082 4:0.22449 5:0.0204082 6:0.44898
111 1:0.375 2:0.125 3:0.125 4:0.125 5:0.125 6:0.125
112 1:0.5 2:0.0833333 3:0.0833333 4:0.166667 5:0.0833333 6:0.0833333
113 1:0.326531 2:0.0204082 3:0.0204082 4:0.204082 5:0.0204082 6:0.408163
114 1:0.6875 2:0.0625 3:0.0625 4:0.0625 5:0.0625 6:0.0625
115 1:0.0833333 2:0.0833333 3:0.166667 4:0.25 5:0.0833333 6:0.333333
116 1:0.25 2:0.125 3:0.125 4:0.25 5:0.125 6:0.125
117 1:0.375 2:0.125 3:0.125 4:0.125 5:0.125 6:0.125
118 1:0.174312 2:0.00917431 3:0.00917431 4:0.119266 5:0.155963 6:0.53211
119 1:0.0680851 2:0.0510638 3:0.365957 4:0.00425532 5:0.497872 6:0.012766
120 1:0.354839 2:0.0322581 3:0.0967742 4:0.0645161 5:0.0322581 6:0.419355
121 1:0.285714 2:0.142857 3:0.142857 4:0.142857 5:0.142857 6:0.142857
122 1:0.25 2:0.125 3:0.25 4:0.125 5:0.125 6:0.125
123 1:0.333333 2:0.0555556 3:0.166667 4:0.0555556 5:0.0555556 6:0.333333
124 1:0.0769231 2:0.0576923 3:0.125 4:0.269231 5:0.442308 6:0.0288462
125 1:0.0793651 2:0.222222 3:0.031746 4:0.349206 5:0.190476 6:0.126984
126 1:0.619048 2:0.047619 3:0.047619 4:0.190476 5:0.047619 6:0.047619
127 1:0.025 2:0.025 3:0.475 4:0.175 5:0.25 6:0.05
128 1:0.0149254 2:0.141791 3:0.261194 4:0.0149254 5:0.559701 6:0.00746269
129 1:0.0555556 2:0.111111 3:0.666667 4:0.0555556 5:0.0555556 6:0.0555556
130 1:0.454545 2:0.0909091 3:0.0909091 4:0.181818 5:0.0909091 6:0.0909091
131 1:0.375 2:0.125 3:0.125 4:0.125 5:0.125 6:0.125
132 1:0.3 2:0.1 3:0.3 4:0.1 5:0.1 6:0.1
133 1:0.32 2:0.08 3:0.04 4:0.2 5:0.04 6:0.32
134 1:0.444444 2:0.111111 3:0.111111 4:0.111111 5:0.111111 6:0.111111
135 1:0.519231 2:0.115385 3:0.211538 4:0.115385 5:0.0192308 6:0.0192308
136 1:0.159763 2:0.0236686 3:0.431953 4:0.0887574 5:0.130178 6:0.16568
137 1:0.0545455 2:0.0181818 3:0.0181818 4:0.272727 5:0.345455 6:0.290909
138 1:0.153846 2:0.0769231 3:0.0769231 4:0.0769231 5:0.538462 6:0.0769231
139 1:0.308642 2:0.358025 3:0.0123457 4:0.0987654 5:0.0617284 6:0.160494
140 1:0.5 2:0.1 3:0.1 4:0.1 5:0.1 6:0.1
141 1:0.423729 2:0.152542 3:0.0169492 4:0.152542 5:0.186441 6:0.0677966
142 1:0.214286 2:0.357143 3:0.214286 4:0.0714286 5:0.0714286 6:0.0714286
143 1:0.583333 2:0.0833333 3:0.0833333 4:0.0833333 5:0.0833333 6:0.0833333
144 1:0.48 2:0.04 3:0.24 4:0.08 5:0.04 6:0.12
145 1:0.186047 2:0.0232558 3:0.0232558 4:0.581395 5:0.0232558 6:0.162791
146 1:0.25 2:0.0192308 3:0.0961538 4:0.442308 5:0.0384615 6:0.153846
147 1:0.375 2:0.125 3:0.125 4:0.125 5:0.125 6:0.125
148 1:0.285714 2:0.142857 3:0.142857 4:0.142857 5:0.142857 6:0.142857
149 1:0.375 2:0.125 3:0.125 4:0.125 5:0.125 6:0.125
150 1:0.125 2:0.125 3:0.125 4:0.25 5:0.125 6:0.25
151 1:0.5 2:0.207317 3:0.0121951 4:0.219512 5:0.0121951 6:0.0487805
152 1:0.046875 2:0.125 3:0.015625 4:0.15625 5:0.5625 6:0.09375
153 1:0.375 2:0.125 3:0.125 4:0.125 5:0.125 6:0.125
154 1:0.15 2:0.65 3:0.05 4:0.05 5:0.05 6:0.05
155 1:0.344828 2:0.0344828 3:0.0344828 4:0.517241 5:0.0344828 6:0.0344828
156 1:0.285714 2:0.142857 3:0.142857 4:0.142857 5:0.142857 6:0.142857
