CR,CM,time
http://sealytics.github.io/ontologies/release-model#Bug-12aab916-005d-4d7a-8293-213375992093,"This bug is caused by a fundamental flaw in Villu&apos;s original design of Type1CharStringParser which assumes that the subroutines can be expanded without executing their commands. That turned out not to be true some time ago due to the need to execute the built-in &quot;othersubrs&quot;.

What we&apos;re seeing here is a continuation of that problem: the &quot;othersubrs&quot; actually require the &quot;div&quot; operator to be executed, so the entire notion of expanding the subrs and othersubrs into a single sequence breaks down. Rather than doing a ton of refactoring I&apos;ve added a workaround: a removeInteger() method which can execute a &quot;div&quot; command during the processing of an &quot;othersubr&quot;. Fixed in [r1606973|http://svn.apache.org/r1606973].",1404024950956
http://sealytics.github.io/ontologies/release-model#Bug-eae29f77-ef2e-481d-ad73-567a4e239b28,"I fixed the issue with the inverted pixelmaps in revision 1527349. PDFBox always chached the image version without a possible image mask.\\ Tilman thanks for your help and the effort, that nut wasn&apos;t easy to crack.",1351753640665
http://sealytics.github.io/ontologies/release-model#Bug-eae29f77-ef2e-481d-ad73-567a4e239b28,Partially inverted image I get if I extract embedded PNGs first,1351753640665
http://sealytics.github.io/ontologies/release-model#Bug-eae29f77-ef2e-481d-ad73-567a4e239b28,"Another broken glyph is in the file of this jira, it is the fourth from the left. The &quot;hook&quot; on the chinese sign looks &quot;unclean&quot; even at 300dpi.

Anyway, I was able to fix that too, I only had to change the block that handles two off-curve points.

I&apos;ll upload the code later today, will render a few pages first.",1351753640665
http://sealytics.github.io/ontologies/release-model#Bug-eae29f77-ef2e-481d-ad73-567a4e239b28,"About the NPE &quot;issue when creating the general path for the glyphs&quot; - I looked at the spec for truetrype

http://www.truetype-typography.com/ttoutln.htm

&quot;Glyphs are defined as a series of contours, each of which contains three or more points. Each point is either on-curve or off-curve. Contours can even consist entirely of off-curve points.&quot;

So its not a font error, and my workaround is not the solution so I deleted it. The current implementation can&apos;t handle contours that consist entirely of off-curve points. It also can&apos;t handle fonts that begin with an off-curve point.

I searched for another implementation and found this one from Sun:
https://svn.atlassian.com/svn/public/atlassian/vendor/pdf-renderer/trunk/src/main/java/com/sun/pdfview/font/TTFFont.java
I used it to see the correct commands (moveto, lineto, quadto).

Based on these, I can&apos;t find an quick fix to get the current code to work. (I did try)

The Sun implementation renders the &quot;problem glyph&quot; in the chinese document correctly: a hollow bullet at the bottom right.

The code is based on the Sun code but modified. It is shorter and simpler than the current code. The original code has a LGPL license. I understand that the GPL license can&apos;t be used ( https://www.apache.org/licenses/GPL-compatibility.html ), but the LGPL license seems to be more friendly.",1351753640665
http://sealytics.github.io/ontologies/release-model#Bug-eae29f77-ef2e-481d-ad73-567a4e239b28,"related effect, this time vertical bars visible at the left of the image when pngs are extracted first. The cloud.pdf file is from another jira.",1351753640665
http://sealytics.github.io/ontologies/release-model#Bug-eae29f77-ef2e-481d-ad73-567a4e239b28,"I get an NPE too. The cause is that the point array starts with two !onCurve and !endOfContour elements, this results in lastCtrlPoint being null.

Points:
Point(85,-47,,)
Point(64,-55,,)
Point(44,-48,,)
Point(35,-33,,)
Point(36,-14,,)
Point(52,2,,)
Point(72,2,,)
Point(87,-8,,)
Point(92,-27,,endOfContour)
Point(64,-3,,)
Point(44,-14,,)
Point(44,-36,,)
Point(62,-48,,)
Point(82,-38,,)
Point(83,-15,,endOfContour)

to facilitate debugging, consider adding this in the Point class:

        @Override
        public String toString()
        {
            return String.format (&quot;Point(%d,%d,%s,%s)&quot;, x, y, onCurve?&quot;onCurve&quot;:&quot;&quot;, endOfContour?&quot;endOfContour&quot;:&quot;&quot;);
        }        
",1351753640665
http://sealytics.github.io/ontologies/release-model#Bug-eae29f77-ef2e-481d-ad73-567a4e239b28,"Thank you Andreas, it works.",1351753640665
http://sealytics.github.io/ontologies/release-model#Bug-eae29f77-ef2e-481d-ad73-567a4e239b28,Workaround patch + rendered image,1351753640665
http://sealytics.github.io/ontologies/release-model#Bug-eae29f77-ef2e-481d-ad73-567a4e239b28,"@Tilman, thanks for your investigantions, but I&apos;m afraid that we can&apos;t use that code because of the LGPL license, see [1]  for further information

http://www.apache.org/legal/resolved#category-x

I&apos;ll try to find another solution, maybe your workaround and your findings are a good starting point.",1351753640665
