# 79 6 474
1 1:0.1325 2:0.1425 3:0.0075 4:0.59 5:0.065 6:0.0625
2 1:0.0909091 2:0.545455 3:0.0909091 4:0.0909091 5:0.0909091 6:0.0909091
3 1:0.00806452 2:0.145161 3:0.459677 4:0.0967742 5:0.282258 6:0.00806452
4 1:0.0833333 2:0.583333 3:0.0833333 4:0.0833333 5:0.0833333 6:0.0833333
5 1:0.0333333 2:0.333333 3:0.5 4:0.0333333 5:0.0333333 6:0.0666667
6 1:0.125 2:0.125 3:0.375 4:0.125 5:0.125 6:0.125
7 1:0.0909091 2:0.545455 3:0.0909091 4:0.0909091 5:0.0909091 6:0.0909091
8 1:0.0833333 2:0.583333 3:0.0833333 4:0.0833333 5:0.0833333 6:0.0833333
9 1:0.047619 2:0.142857 3:0.428571 4:0.047619 5:0.285714 6:0.047619
10 1:0.240964 2:0.0240964 3:0.409639 4:0.0120482 5:0.144578 6:0.168675
11 1:0.0555556 2:0.444444 3:0.111111 4:0.0555556 5:0.0555556 6:0.277778
12 1:0.111111 2:0.0555556 3:0.444444 4:0.277778 5:0.0555556 6:0.0555556
13 1:0.1 2:0.25 3:0.2 4:0.05 5:0.35 6:0.05
14 1:0.0909091 2:0.272727 3:0.0909091 4:0.363636 5:0.0909091 6:0.0909091
15 1:0.0188679 2:0.0943396 3:0.320755 4:0.150943 5:0.0188679 6:0.396226
16 1:0.0833333 2:0.583333 3:0.0833333 4:0.0833333 5:0.0833333 6:0.0833333
17 1:0.0833333 2:0.583333 3:0.0833333 4:0.0833333 5:0.0833333 6:0.0833333
18 1:0.0714286 2:0.5 3:0.0714286 4:0.214286 5:0.0714286 6:0.0714286
19 1:0.263889 2:0.208333 3:0.291667 4:0.0138889 5:0.152778 6:0.0694444
20 1:0.0285714 2:0.342857 3:0.0285714 4:0.142857 5:0.0857143 6:0.371429
21 1:0.111111 2:0.444444 3:0.111111 4:0.111111 5:0.111111 6:0.111111
22 1:0.0185185 2:0.0185185 3:0.111111 4:0.111111 5:0.0185185 6:0.722222
23 1:0.0833333 2:0.5 3:0.166667 4:0.0833333 5:0.0833333 6:0.0833333
24 1:0.0714286 2:0.642857 3:0.0714286 4:0.0714286 5:0.0714286 6:0.0714286
25 1:0.0833333 2:0.583333 3:0.0833333 4:0.0833333 5:0.0833333 6:0.0833333
26 1:0.186047 2:0.255814 3:0.44186 4:0.0232558 5:0.0697674 6:0.0232558
27 1:0.376812 2:0.15942 3:0.202899 4:0.231884 5:0.0144928 6:0.0144928
28 1:0.384615 2:0.230769 3:0.153846 4:0.0769231 5:0.0769231 6:0.0769231
29 1:0.0833333 2:0.583333 3:0.0833333 4:0.0833333 5:0.0833333 6:0.0833333
30 1:0.0833333 2:0.583333 3:0.0833333 4:0.0833333 5:0.0833333 6:0.0833333
31 1:0.0909091 2:0.545455 3:0.0909091 4:0.0909091 5:0.0909091 6:0.0909091
32 1:0.0769231 2:0.307692 3:0.0769231 4:0.0769231 5:0.307692 6:0.153846
33 1:0.05 2:0.7 3:0.05 4:0.05 5:0.05 6:0.1
34 1:0.0833333 2:0.583333 3:0.0833333 4:0.0833333 5:0.0833333 6:0.0833333
35 1:0.0909091 2:0.545455 3:0.0909091 4:0.0909091 5:0.0909091 6:0.0909091
36 1:0.0120482 2:0.337349 3:0.0120482 4:0.0120482 5:0.277108 6:0.349398
37 1:0.0555556 2:0.388889 3:0.0555556 4:0.388889 5:0.0555556 6:0.0555556
38 1:0.02 2:0.32 3:0.42 4:0.02 5:0.02 6:0.2
39 1:0.0833333 2:0.583333 3:0.0833333 4:0.0833333 5:0.0833333 6:0.0833333
40 1:0.125 2:0.125 3:0.125 4:0.125 5:0.125 6:0.375
41 1:0.125 2:0.375 3:0.125 4:0.125 5:0.125 6:0.125
42 1:0.0833333 2:0.583333 3:0.0833333 4:0.0833333 5:0.0833333 6:0.0833333
43 1:0.1 2:0.5 3:0.1 4:0.1 5:0.1 6:0.1
44 1:0.0833333 2:0.583333 3:0.0833333 4:0.0833333 5:0.0833333 6:0.0833333
45 1:0.0769231 2:0.615385 3:0.0769231 4:0.0769231 5:0.0769231 6:0.0769231
46 1:0.0333333 2:0.6 3:0.266667 4:0.0333333 5:0.0333333 6:0.0333333
47 1:0.0769231 2:0.615385 3:0.0769231 4:0.0769231 5:0.0769231 6:0.0769231
48 1:0.111111 2:0.444444 3:0.111111 4:0.111111 5:0.111111 6:0.111111
49 1:0.0204082 2:0.0408163 3:0.693878 4:0.0408163 5:0.0204082 6:0.183673
50 1:0.142857 2:0.142857 3:0.142857 4:0.142857 5:0.142857 6:0.285714
51 1:0.0833333 2:0.583333 3:0.0833333 4:0.0833333 5:0.0833333 6:0.0833333
52 1:0.0625 2:0.6875 3:0.0625 4:0.0625 5:0.0625 6:0.0625
53 1:0.307692 2:0.108753 3:0.0132626 4:0.541114 5:0.0265252 6:0.00265252
54 1:0.0151515 2:0.0454545 3:0.242424 4:0.0151515 5:0.515152 6:0.166667
55 1:0.0714286 2:0.571429 3:0.0714286 4:0.0714286 5:0.142857 6:0.0714286
56 1:0.0714286 2:0.642857 3:0.0714286 4:0.0714286 5:0.0714286 6:0.0714286
57 1:0.012987 2:0.103896 3:0.181818 4:0.0649351 5:0.012987 6:0.623377
58 1:0.0714286 2:0.642857 3:0.0714286 4:0.0714286 5:0.0714286 6:0.0714286
59 1:0.0294118 2:0.352941 3:0.205882 4:0.0294118 5:0.0294118 6:0.352941
60 1:0.0833333 2:0.583333 3:0.0833333 4:0.0833333 5:0.0833333 6:0.0833333
61 1:0.0714286 2:0.642857 3:0.0714286 4:0.0714286 5:0.0714286 6:0.0714286
62 1:0.0384615 2:0.576923 3:0.0384615 4:0.0384615 5:0.0769231 6:0.230769
63 1:0.125 2:0.375 3:0.125 4:0.125 5:0.125 6:0.125
64 1:0.0909091 2:0.454545 3:0.0909091 4:0.0909091 5:0.0909091 6:0.181818
65 1:0.0454545 2:0.318182 3:0.409091 4:0.0454545 5:0.136364 6:0.0454545
66 1:0.0769231 2:0.615385 3:0.0769231 4:0.0769231 5:0.0769231 6:0.0769231
67 1:0.05 2:0.65 3:0.05 4:0.05 5:0.15 6:0.05
68 1:0.0833333 2:0.583333 3:0.0833333 4:0.0833333 5:0.0833333 6:0.0833333
69 1:0.0833333 2:0.583333 3:0.0833333 4:0.0833333 5:0.0833333 6:0.0833333
70 1:0.0285714 2:0.171429 3:0.4 4:0.0285714 5:0.257143 6:0.114286
71 1:0.0833333 2:0.416667 3:0.25 4:0.0833333 5:0.0833333 6:0.0833333
72 1:0.05 2:0.55 3:0.05 4:0.05 5:0.05 6:0.25
73 1:0.05 2:0.7 3:0.05 4:0.05 5:0.1 6:0.05
74 1:0.0769231 2:0.615385 3:0.0769231 4:0.0769231 5:0.0769231 6:0.0769231
75 1:0.0243902 2:0.585366 3:0.146341 4:0.0243902 5:0.0243902 6:0.195122
76 1:0.0377358 2:0.301887 3:0.0377358 4:0.0943396 5:0.509434 6:0.0188679
77 1:0.280702 2:0.122807 3:0.22807 4:0.0175439 5:0.333333 6:0.0175439
78 1:0.0526316 2:0.526316 3:0.210526 4:0.0526316 5:0.0526316 6:0.105263
79 1:0.020202 2:0.0808081 3:0.040404 4:0.272727 5:0.393939 6:0.191919
