CR,CM,time
http://sealytics.github.io/ontologies/release-model#Bug-776928b4-b413-4424-9cc1-2e1a96e89654,fixed with http://svn.apache.org/r1551865 in 0.12.0 and http://svn.apache.org/r1551872 in trunk.,1386849728939
http://sealytics.github.io/ontologies/release-model#Bug-278f268b-be26-4394-9dac-14e80f653854,"regarding {code} 
public TripleCollection getRdfGraph()
{ - return graphNode.getGraph(); + return graphNode.getNodeContext(); } 
{code}

The Clerezza GraphNode#getNodeContext() method includes both incoming and outgoing triples. However the Representation only cares about outgoing. Because of that I would prefer a custom implementation that ignores incoming relations (triples where the current node in the Object).",1403525475172
http://sealytics.github.io/ontologies/release-model#Bug-278f268b-be26-4394-9dac-14e80f653854,"this patch contains some others modifications : 

******
commons/namespaceprefix/service/src/main/java/org/apache/stanbol/commons/namespaceprefix/NamespacePrefixService.java

=&gt; add  a method to the interface to import mapping from inputstreams

******
entityhub/jersey/pom.xml

=&gt; move all stanbol&apos;s module dependencies to a unified (0.12.1-SNAPSHOT) one.
This was done throw maven property... Seems to remember that it&apos;s not really like here... but found it a really easy and clean way to stop the hassle on version numbering inside each module...

*****
entityhub/jersey/src/test/java/org/apache/stanbol/entityhub/jersey/writers/QueryResultsToRDFTest.java

=&gt; Test case. 
This also show a commented potential problem when serializing RDFQueryResultsList to Json (that don&apos;t append when serializing QueryResultList.

****
entityhub/model/clerezza/src/main/java/org/apache/stanbol/entityhub/model/clerezza/RdfRepresentation.java

=&gt; contains the fix : 
     public TripleCollection getRdfGraph(){
-        return graphNode.getGraph();
+       return graphNode.getNodeContext();
     }

=&gt; and a toJson method to make the toString result more human readable.",1403525475172
http://sealytics.github.io/ontologies/release-model#Bug-278f268b-be26-4394-9dac-14e80f653854,integration test seems to fail now because of #STANBOL-1356,1403525475172
http://sealytics.github.io/ontologies/release-model#Bug-278f268b-be26-4394-9dac-14e80f653854,"regarding the RdfRepresentation#toJson and toString method:

You can use {code} org.apache.stanbol.entityhub.servicesapi.util.ModelUtils#getRepresentationInfo(Representation rep){code} for getting human readable details for a Representation.",1403525475172
http://sealytics.github.io/ontologies/release-model#Bug-efb81c62-bf3a-40a5-87e9-e02a6d7055c4,Applied the patch with http://svn.apache.org/r1518628,1374835591258
http://sealytics.github.io/ontologies/release-model#Bug-efb81c62-bf3a-40a5-87e9-e02a6d7055c4,"As noticed by Benjamin Gr̦ssing[1] this introduced a small error in the pom.xml file of the topic engine.

[1] http://markmail.org/message/d32fwphmm6zxffub",1374835591258
http://sealytics.github.io/ontologies/release-model#Bug-efb81c62-bf3a-40a5-87e9-e02a6d7055c4,"Hi Sebasitan,

Thank you for this patch. Separating API and implementation should also allow to have different implementations (e.g. to use different classifiers).

Had a first look at the patch and he looks good. Will make some more checks and commit it to trunk if I do not find any issues.",1374835591258
http://sealytics.github.io/ontologies/release-model#Bug-efb81c62-bf3a-40a5-87e9-e02a6d7055c4,"fixed the Private-Package statements with

    http://svn.apache.org/r1543344 in the release-0.12 branch
    http://svn.apache.org/r1543347 in the trunk ",1374835591258
http://sealytics.github.io/ontologies/release-model#Bug-efb81c62-bf3a-40a5-87e9-e02a6d7055c4,preliminary patch that separates API and implementation into two modules,1374835591258
