method,cwe,P,R,F1,support
Sentence-LDA (this work),CWE-119,0.5377,0.4401,0.484,6178
Sentence-LDA (this work),CWE-134,0.0,0.0,0.0,168
Sentence-LDA (this work),CWE-16,0.0,0.0,0.0,251
Sentence-LDA (this work),CWE-17,0.0,0.0,0.0,158
Sentence-LDA (this work),CWE-20,0.0,0.0,0.0,3587
Sentence-LDA (this work),CWE-200,0.0,0.0,0.0,2519
Sentence-LDA (this work),CWE-22,0.6241,0.508,0.5601,1876
Sentence-LDA (this work),CWE-255,0.0,0.0,0.0,587
Sentence-LDA (this work),CWE-264,0.3647,0.1877,0.2479,4176
Sentence-LDA (this work),CWE-287,0.0,0.0,0.0,972
Sentence-LDA (this work),CWE-310,0.9457,0.6719,0.7857,2152
Sentence-LDA (this work),CWE-352,0.8129,0.8842,0.8471,1140
Sentence-LDA (this work),CWE-399,0.0,0.0,0.0,2256
Sentence-LDA (this work),CWE-77,0.0,0.0,0.0,69
Sentence-LDA (this work),CWE-79,0.6464,0.916,0.7579,6491
Sentence-LDA (this work),CWE-89,0.6372,0.915,0.7512,4175
Sentence-LDA (this work),CWE-94,0.0,0.0,0.0,2030
Sentence-LDA (this work),NA,0.5822,0.7741,0.6645,36665
TF-IDF + k-means,CWE-119,0.5615,0.4794,0.5172,6178
TF-IDF + k-means,CWE-134,0.0,0.0,0.0,168
TF-IDF + k-means,CWE-16,0.0,0.0,0.0,251
TF-IDF + k-means,CWE-17,0.0,0.0,0.0,158
TF-IDF + k-means,CWE-20,0.0,0.0,0.0,3587
TF-IDF + k-means,CWE-200,0.0,0.0,0.0,2519
TF-IDF + k-means,CWE-22,0.5806,0.5778,0.5792,1876
TF-IDF + k-means,CWE-255,0.0,0.0,0.0,587
TF-IDF + k-means,CWE-264,0.4401,0.2112,0.2854,4176
TF-IDF + k-means,CWE-287,0.0,0.0,0.0,972
TF-IDF + k-means,CWE-310,0.9102,0.697,0.7895,2152
TF-IDF + k-means,CWE-352,0.9348,0.9184,0.9265,1140
TF-IDF + k-means,CWE-399,0.0,0.0,0.0,2256
TF-IDF + k-means,CWE-77,0.0,0.0,0.0,69
TF-IDF + k-means,CWE-79,0.6779,0.8922,0.7704,6491
TF-IDF + k-means,CWE-89,0.6707,0.8671,0.7564,4175
TF-IDF + k-means,CWE-94,0.0,0.0,0.0,2030
TF-IDF + k-means,NA,0.5865,0.7933,0.6744,36665
LSA + k-means,CWE-119,0.4549,0.1004,0.1644,6178
LSA + k-means,CWE-134,0.0,0.0,0.0,168
LSA + k-means,CWE-16,0.0,0.0,0.0,251
LSA + k-means,CWE-17,0.0,0.0,0.0,158
LSA + k-means,CWE-20,0.0,0.0,0.0,3587
LSA + k-means,CWE-200,0.0,0.0,0.0,2519
LSA + k-means,CWE-22,0.5762,0.5848,0.5804,1876
LSA + k-means,CWE-255,0.0,0.0,0.0,587
LSA + k-means,CWE-264,0.4188,0.2352,0.3012,4176
LSA + k-means,CWE-287,0.0,0.0,0.0,972
LSA + k-means,CWE-310,0.8574,0.7124,0.7782,2152
LSA + k-means,CWE-352,0.9054,0.9482,0.9263,1140
LSA + k-means,CWE-399,0.0,0.0,0.0,2256
LSA + k-means,CWE-77,0.0,0.0,0.0,69
LSA + k-means,CWE-79,0.6803,0.8886,0.7707,6491
LSA + k-means,CWE-89,0.6961,0.8273,0.756,4175
LSA + k-means,CWE-94,0.0,0.0,0.0,2030
LSA + k-means,NA,0.5688,0.8286,0.6745,36665
HDP,CWE-119,0.0,0.0,0.0,6178
HDP,CWE-134,0.0,0.0,0.0,168
HDP,CWE-16,0.0,0.0,0.0,251
HDP,CWE-17,0.0,0.0,0.0,158
HDP,CWE-20,0.5,0.0003,0.0006,3587
HDP,CWE-200,0.0,0.0,0.0,2519
HDP,CWE-22,0.5,0.0005,0.0011,1876
HDP,CWE-255,0.0,0.0,0.0,587
HDP,CWE-264,0.0,0.0,0.0,4176
HDP,CWE-287,0.0,0.0,0.0,972
HDP,CWE-310,1.0,0.0005,0.0009,2152
HDP,CWE-352,0.0,0.0,0.0,1140
HDP,CWE-399,0.0,0.0,0.0,2256
HDP,CWE-77,0.0,0.0,0.0,69
HDP,CWE-79,0.6312,0.9438,0.7565,6491
HDP,CWE-89,0.0,0.0,0.0,4175
HDP,CWE-94,0.0,0.0,0.0,2030
HDP,NA,0.51,0.9144,0.6548,36665
SBERT + k-means,CWE-119,0.6133,0.287,0.391,6178
SBERT + k-means,CWE-134,0.0,0.0,0.0,168
SBERT + k-means,CWE-16,0.0,0.0,0.0,251
SBERT + k-means,CWE-17,0.0,0.0,0.0,158
SBERT + k-means,CWE-20,0.0,0.0,0.0,3587
SBERT + k-means,CWE-200,0.0,0.0,0.0,2519
SBERT + k-means,CWE-22,0.6152,0.8982,0.7302,1876
SBERT + k-means,CWE-255,0.0,0.0,0.0,587
SBERT + k-means,CWE-264,0.0,0.0,0.0,4176
SBERT + k-means,CWE-287,0.0,0.0,0.0,972
SBERT + k-means,CWE-310,0.9746,0.6599,0.7869,2152
SBERT + k-means,CWE-352,0.931,0.9465,0.9387,1140
SBERT + k-means,CWE-399,0.0,0.0,0.0,2256
SBERT + k-means,CWE-77,0.0,0.0,0.0,69
SBERT + k-means,CWE-79,0.6839,0.9636,0.8,6491
SBERT + k-means,CWE-89,0.6598,0.9899,0.7918,4175
SBERT + k-means,CWE-94,0.0,0.0,0.0,2030
SBERT + k-means,NA,0.5763,0.814,0.6748,36665
