cwe,P,R,F1,support
CWE-119,0.4627,0.6311,0.5339,6178
CWE-134,0.0384,0.6667,0.0726,168
CWE-16,0.0069,0.0398,0.0118,251
CWE-17,0.0092,0.3671,0.018,158
CWE-20,0.1805,0.2431,0.2072,3587
CWE-200,0.2212,0.239,0.2297,2519
CWE-22,0.5046,0.8721,0.6393,1876
CWE-255,0.0531,0.3526,0.0923,587
CWE-264,0.2077,0.3443,0.2591,4176
CWE-287,0.082,0.1553,0.1073,972
CWE-310,0.499,0.783,0.6095,2152
CWE-352,0.8129,0.8842,0.8471,1140
CWE-399,0.1765,0.1246,0.146,2256
CWE-77,0.0085,0.2029,0.0163,69
CWE-79,0.559,0.9546,0.7051,6491
CWE-89,0.6372,0.915,0.7512,4175
CWE-94,0.2832,0.4202,0.3384,2030
NA,0.8799,0.1189,0.2096,36665
